Time,8572
domain_center,(3.3442248792 3.34608791044 3.34240550524)
Reynolds Number,3.44212303023,[0 -1 0 0 0 0 0]
Fit,0.041658293154,[1 -3 -1 0 0 0 0]
K,0.00379720276367,[0 0 1 0 0 0 0]
TCAT Approx 1,5.62102605727e-09,[1 -1 -3 0 0 0 0]
e_w,0.397724760839,[0 0 0 0 0 0 0]
e_ws,1.88658154337,[0 -1 0 0 0 0 0]
sauder mean diameter,9.08580956174,[0 0 0 0 0 0 0]
Domain Volume,300.364666563,[0 3 0 0 0 0 0]
w_volume,119.462465173,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000322,[1 -3 0 0 0 0 0]
Macroscale U,(0.336431169012 -0.00492463009111 -0.0218044738717),[0 1 -1 0 0 0 0]
Macroscale p,32.2417596039,[1 -1 -2 0 0 0 0]
Macroscale t,(-32.241839999 9.99504697316e-07 4.51093729049e-06 9.99504697316e-07 -32.2417949989 1.34614873401e-06 4.51093729049e-06 1.34614873401e-06 -32.241798154),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.000288193056091 -0.000503797593515 -0.000892885240034 -0.000503797593515 -3.3454993749e-07 8.47156566222e-08 -0.000892885240034 8.47156566222e-08 -3.67814766589e-07),[0 0 -1 0 0 0 0]
Macroscale mu,32241.7595831,[0 2 -2 0 0 0 0]
Macroscale psi,-32144.9848993,[0 2 -2 0 0 0 0]
Mass error,2.29813291645e-15,[1 -3 -1 0 0 0 0]
Momentum error,(3.02453206924e-09 1.14875260499e-09 9.4299884131e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(4.81804057752e-06 -3.11875025702e-07 -4.49881457581e-07),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000003163 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.32466944561 -2.60921435373e-05 -5.52976128225e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.577015285815 2.5779119759e-05 5.48383013765e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.32463496241 -1.11437224084e-06 4.30903208883e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.32458842147 -1.18660084558e-06 3.53348127909e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.33120144252 -1.09358109318e-05 2.65277969303e-07),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.31718629425 1.09875766106e-05 7.58307084036e-06),[1 -2 -2 0 0 0 0]
