Time,2860
domain_center,(3.3442248792 3.34608791044 3.34240550524)
Reynolds Number,0.0286850877685,[0 -1 0 0 0 0 0]
Fit,0.0416266167198,[1 -3 -1 0 0 0 0]
K,0.00380009230531,[0 0 1 0 0 0 0]
TCAT Approx 1,1.0220994169e-13,[1 -1 -3 0 0 0 0]
e_w,0.397724760839,[0 0 0 0 0 0 0]
e_ws,1.88658154337,[0 -1 0 0 0 0 0]
sauder mean diameter,9.08580956174,[0 0 0 0 0 0 0]
Domain Volume,300.364666563,[0 3 0 0 0 0 0]
w_volume,119.462465173,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000321,[1 -3 0 0 0 0 0]
Macroscale U,(0.00280359242828 -4.14426297473e-05 -0.000182723887647),[0 1 -1 0 0 0 0]
Macroscale p,32.145790546,[1 -1 -2 0 0 0 0]
Macroscale t,(-32.1457905527 -7.10415012357e-09 -1.25927530352e-08 -7.10415012357e-09 -32.1457905478 9.20754641837e-11 -1.25927530352e-08 9.20754641837e-11 -32.1457905481),[1 -1 -2 0 0 0 0]
Macroscale d,(-2.40155465245e-06 -4.05759188381e-06 -7.2730937584e-06 -4.05759188381e-06 -2.78188971508e-09 7.07416934725e-10 -7.2730937584e-06 7.07416934725e-10 -3.05827972576e-09),[0 0 -1 0 0 0 0]
Macroscale mu,32145.7905257,[0 2 -2 0 0 0 0]
Macroscale psi,-32144.9848991,[0 2 -2 0 0 0 0]
Mass error,-1.41877836004e-16,[1 -3 -1 0 0 0 0]
Momentum error,(-4.25424273587e-09 1.61506363722e-10 -9.00940022906e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(3.38520160665e-10 -2.09204899734e-11 -3.0631007754e-11),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000003153 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.31075635104 9.65385260446e-07 -3.52845541511e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.590923569926 -9.65567687299e-07 3.52935329203e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.31075606367 -1.19484752464e-06 3.51801711923e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.3107556292 -1.12930180929e-06 3.51771495395e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.31730299833 -1.09870110482e-05 -7.51744747996e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.31718629427 1.09875762904e-05 7.58307018212e-06),[1 -2 -2 0 0 0 0]
