Time,7219
domain_center,(3.3442248792 3.34608791044 3.34240550524)
Reynolds Number,2.29475576693,[0 -1 0 0 0 0 0]
Fit,0.0416455132685,[1 -3 -1 0 0 0 0]
K,0.00379836802284,[0 0 1 0 0 0 0]
TCAT Approx 1,1.88803103895e-09,[1 -1 -3 0 0 0 0]
e_w,0.397724760839,[0 0 0 0 0 0 0]
e_ws,1.88658154337,[0 -1 0 0 0 0 0]
sauder mean diameter,9.08580956174,[0 0 0 0 0 0 0]
Domain Volume,300.364666563,[0 3 0 0 0 0 0]
w_volume,119.462465173,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000322,[1 -3 0 0 0 0 0]
Macroscale U,(0.224287445757 -0.00329339016052 -0.0145447110751),[0 1 -1 0 0 0 0]
Macroscale p,32.2094811449,[1 -1 -2 0 0 0 0]
Macroscale t,(-32.2095169141 2.62055241123e-07 1.66342913539e-06 2.62055241123e-07 -32.2094968634 5.92400191713e-07 1.66342913539e-06 5.92400191713e-07 -32.2094982591),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.000192126469835 -0.000329056637144 -0.000589277937606 -0.000329056637144 -2.22879529832e-07 5.65005445701e-08 -0.000589277937606 5.65005445701e-08 -2.45095964791e-07),[0 0 -1 0 0 0 0]
Macroscale mu,32209.481124,[0 2 -2 0 0 0 0]
Macroscale psi,-32144.9848992,[0 2 -2 0 0 0 0]
Mass error,2.05623401056e-15,[1 -3 -1 0 0 0 0]
Momentum error,(2.93352730996e-09 1.18206965604e-09 9.4054991674e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(2.14928334077e-06 -1.35944636001e-07 -1.98121648214e-07),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.8100000316 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.31998994317 -1.70784022089e-05 -4.86402330827e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.581692119578 1.69412755032e-05 4.84327059353e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.31996695408 -1.13348249509e-06 4.0431190271e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.31993592407 -1.16737504115e-06 3.52818451418e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.32652686006 -1.09447696007e-05 -2.35112799989e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.31718629426 1.09875765034e-05 7.58307061675e-06),[1 -2 -2 0 0 0 0]
