Time,6546
domain_center,(3.3442248792 3.34608791044 3.34240550524)
Reynolds Number,1.72106928154,[0 -1 0 0 0 0 0]
Fit,0.0416394778496,[1 -3 -1 0 0 0 0]
K,0.0037989185759,[0 0 1 0 0 0 0]
TCAT Approx 1,8.8727916114e-10,[1 -1 -3 0 0 0 0]
e_w,0.397724760839,[0 0 0 0 0 0 0]
e_ws,1.88658154337,[0 -1 0 0 0 0 0]
sauder mean diameter,9.08580956174,[0 0 0 0 0 0 0]
Domain Volume,300.364666563,[0 3 0 0 0 0 0]
w_volume,119.462465173,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000322,[1 -3 0 0 0 0 0]
Macroscale U,(0.168215584608 -0.00247385858789 -0.0109113822756),[0 1 -1 0 0 0 0]
Macroscale p,32.1933499794,[1 -1 -2 0 0 0 0]
Macroscale t,(-32.193370119 4.34808349414e-08 7.42743298532e-07 4.34808349414e-08 -32.193358813 3.31595711245e-07 7.42743298532e-07 3.31595711245e-07 -32.1933595963),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.000144094439973 -0.000244193679652 -0.000439689500405 -0.000244193679652 -1.67102275327e-07 4.23839972557e-08 -0.000439689500405 4.23839972557e-08 -1.83780043022e-07),[0 0 -1 0 0 0 0]
Macroscale mu,32193.3499586,[0 2 -2 0 0 0 0]
Macroscale psi,-32144.9848992,[0 2 -2 0 0 0 0]
Mass error,2.55622655305e-15,[1 -3 -1 0 0 0 0]
Momentum error,(2.9578257621e-09 1.197011899e-09 9.43811841571e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(1.21123797852e-06 -7.57031210528e-08 -1.10925799822e-07),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000003158 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.31765132449 -1.25406927747e-05 -4.52855285227e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.584029800182 1.24637926417e-05 4.51651646044e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.31763408256 -1.14602688643e-06 3.91017121529e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.31761080341 -1.15774917285e-06 3.52553511184e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.32419070337 -1.0952562123e-05 -3.65931010344e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.31718629426 1.09875764456e-05 7.58307050263e-06),[1 -2 -2 0 0 0 0]
