Time,18164
domain_center,(3.3442248792 3.34608791044 3.34240550524)
Reynolds Number,45.8838684521,[0 -1 0 0 0 0 0]
Fit,0.0426532629746,[1 -3 -1 0 0 0 0]
K,0.00370862566852,[0 0 1 0 0 0 0]
TCAT Approx 1,8.32135142624e-06,[1 -1 -3 0 0 0 0]
e_w,0.397724760839,[0 0 0 0 0 0 0]
e_ws,1.88658154337,[0 -1 0 0 0 0 0]
sauder mean diameter,9.08580956174,[0 0 0 0 0 0 0]
Domain Volume,300.364666563,[0 3 0 0 0 0 0]
w_volume,119.462465173,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000335,[1 -3 0 0 0 0 0]
Macroscale U,(4.48575580848 -0.0587695484443 -0.274841598013),[0 1 -1 0 0 0 0]
Macroscale p,33.469947393,[1 -1 -2 0 0 0 0]
Macroscale t,(-33.4841976413 0.000245763843484 0.000965415082637 0.000245763843484 -33.4760485778 0.000331690177958 0.000965415082637 0.000331690177958 -33.4767318527),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.00385011107714 -0.0105129181797 -0.0149354624672 -0.0105129181797 -4.5739808686e-06 1.10400316758e-06 -0.0149354624672 1.10400316758e-06 -5.00276151991e-06),[0 0 -1 0 0 0 0]
Macroscale mu,33469.9473692,[0 2 -2 0 0 0 0]
Macroscale psi,-32144.9849009,[0 2 -2 0 0 0 0]
Mass error,-5.86266479406e-14,[1 -3 -1 0 0 0 0]
Momentum error,(8.53780990351e-10 1.76113036464e-09 9.7150989802e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(0.000777801158941 -8.35365599459e-05 -9.97908830353e-05),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000003283 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.50216163328 -0.000310612363965 -0.000268417007688),[1 -2 -2 0 0 0 0]
Macroscale T,(0.400296083913 0.000227074042889 0.000168616409554),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.5017017982 -3.56788810037e-06 0.000142375439157),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.50108677553 -1.87833032595e-06 3.72996791577e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.50851841624 -1.37632697509e-05 9.79187459434e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.3171862941 1.09875809181e-05 7.58308015203e-06),[1 -2 -2 0 0 0 0]
