Time,3930
domain_center,(3.3442248792 3.34608791044 3.34240550524)
Reynolds Number,0.143423460239,[0 -1 0 0 0 0 0]
Fit,0.0416243225098,[1 -3 -1 0 0 0 0]
K,0.00380030175519,[0 0 1 0 0 0 0]
TCAT Approx 1,2.75428130968e-12,[1 -1 -3 0 0 0 0]
e_w,0.397724760839,[0 0 0 0 0 0 0]
e_ws,1.88658154337,[0 -1 0 0 0 0 0]
sauder mean diameter,9.08580956174,[0 0 0 0 0 0 0]
Domain Volume,300.364666563,[0 3 0 0 0 0 0]
w_volume,119.462465173,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000321,[1 -3 0 0 0 0 0]
Macroscale U,(0.0140179645915 -0.000206996688904 -0.000910645709526),[0 1 -1 0 0 0 0]
Macroscale p,32.1490136775,[1 -1 -2 0 0 0 0]
Macroscale t,(-32.1490138227 -3.20721257502e-08 -5.40461263863e-08 -3.20721257502e-08 -32.1490137363 2.27834052024e-09 -5.40461263863e-08 2.27834052024e-09 -32.1490137417),[1 -1 -2 0 0 0 0]
Macroscale d,(-1.20079389702e-05 -1.98591766964e-05 -3.61385342458e-05 -1.98591766964e-05 -1.39116892077e-08 3.53453402334e-09 -3.61385342458e-05 3.53453402334e-09 -1.53026789959e-08),[0 0 -1 0 0 0 0]
Macroscale mu,32149.0136569,[0 2 -2 0 0 0 0]
Macroscale psi,-32144.9848991,[0 2 -2 0 0 0 0]
Mass error,-1.04750868433e-15,[1 -3 -1 0 0 0 0]
Momentum error,(-5.24934551382e-09 7.82551459528e-10 -8.37858345099e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(8.45736562166e-09 -5.1349903493e-10 -7.61189296194e-10),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000003154 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.31122362841 4.40810171321e-08 -3.59676383942e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.590456301671 -4.53770676266e-08 3.59752557884e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.31122219155 -1.19098327108e-06 3.5446035137e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.31122020937 -1.13123288803e-06 3.51824535137e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.31776978255 -1.0983918004e-05 -7.25599576514e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.31718629427 1.09875763006e-05 7.58307019868e-06),[1 -2 -2 0 0 0 0]
