Time,9253
domain_center,(3.3442248792 3.34608791044 3.34240550524)
Reynolds Number,4.01580364774,[0 -1 0 0 0 0 0]
Fit,0.041665019339,[1 -3 -1 0 0 0 0]
K,0.00379658976292,[0 0 1 0 0 0 0]
TCAT Approx 1,8.56872588897e-09,[1 -1 -3 0 0 0 0]
e_w,0.397724760839,[0 0 0 0 0 0 0]
e_ws,1.88658154337,[0 -1 0 0 0 0 0]
sauder mean diameter,9.08580956174,[0 0 0 0 0 0 0]
Domain Volume,300.364666563,[0 3 0 0 0 0 0]
w_volume,119.462465173,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000323,[1 -3 0 0 0 0 0]
Macroscale U,(0.39250303148 -0.00573631248796 -0.0254306601426),[0 1 -1 0 0 0 0]
Macroscale p,32.2579075074,[1 -1 -2 0 0 0 0]
Macroscale t,(-32.2580168963 1.51640263219e-06 6.43642815707e-06 1.51640263219e-06 -32.2579556922 1.84140036837e-06 6.43642815707e-06 1.84140036837e-06 -32.2579599969),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.000336228115721 -0.00059364461667 -0.00104689716708 -0.00059364461667 -3.90443376307e-07 9.88140751884e-08 -0.00104689716708 9.88140751884e-08 -4.29218121175e-07),[0 0 -1 0 0 0 0]
Macroscale mu,32257.9074868,[0 2 -2 0 0 0 0]
Macroscale psi,-32144.9848993,[0 2 -2 0 0 0 0]
Mass error,1.81326531765e-15,[1 -3 -1 0 0 0 0]
Momentum error,(3.01027602845e-09 1.1312165597e-09 9.39730914649e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(6.54593022157e-06 -4.28510952957e-07 -6.15125275204e-07),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000003164 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.32701040199 -3.05682290755e-05 -5.86009068784e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.574676057341 3.0138586906e-05 5.79763842941e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.32697017182 -1.10776430182e-06 4.44200067004e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.32691587126 -1.19620088959e-06 3.53612871645e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.33353994065 -1.09339900318e-05 1.57331039082e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.31718629425 1.09875766715e-05 7.58307095591e-06),[1 -2 -2 0 0 0 0]
