Time,5876
domain_center,(3.3442248792 3.34608791044 3.34240550524)
Reynolds Number,1.14738101772,[0 -1 0 0 0 0 0]
Fit,0.0416337100761,[1 -3 -1 0 0 0 0]
K,0.0037994448634,[0 0 1 0 0 0 0]
TCAT Approx 1,3.15717320694e-10,[1 -1 -3 0 0 0 0]
e_w,0.397724760839,[0 0 0 0 0 0 0]
e_ws,1.88658154337,[0 -1 0 0 0 0 0]
sauder mean diameter,9.08580956174,[0 0 0 0 0 0 0]
Domain Volume,300.364666563,[0 3 0 0 0 0 0]
w_volume,119.462465173,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000322,[1 -3 0 0 0 0 0]
Macroscale U,(0.112143723492 -0.00165174266421 -0.00727594532971),[0 1 -1 0 0 0 0]
Macroscale p,32.1772237797,[1 -1 -2 0 0 0 0]
Macroscale t,(-32.1772327469 -7.36717501838e-08 1.5827083908e-07 -7.36717501838e-08 -32.1772276983 1.46663308643e-07 1.5827083908e-07 1.46663308643e-07 -32.1772280456),[1 -1 -2 0 0 0 0]
Macroscale d,(-9.6062897138e-05 -0.000161026501892 -0.000291585801933 -0.000161026501892 -1.11363442359e-07 2.82615670054e-08 -0.000291585801933 2.82615670054e-08 -1.22492689679e-07),[0 0 -1 0 0 0 0]
Macroscale mu,32177.2237589,[0 2 -2 0 0 0 0]
Macroscale psi,-32144.9848992,[0 2 -2 0 0 0 0]
Mass error,2.12020492295e-15,[1 -3 -1 0 0 0 0]
Momentum error,(2.90490720367e-09 1.21209712588e-09 9.38195709973e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(5.39346214703e-07 -3.32982535808e-08 -4.90669684161e-08),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000003157 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.31531341201 -7.98241131464e-06 -4.19130576264e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.586367040819 7.94790096393e-06 4.18546087009e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.3153019173 -1.16058883003e-06 3.77722743912e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.31528638564 -1.14811456925e-06 3.52288497899e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.32185525353 -1.09625155524e-05 -4.96675301012e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.31718629426 1.09875763948e-05 7.58307039503e-06),[1 -2 -2 0 0 0 0]
