Time,5208
domain_center,(3.3442248792 3.34608791044 3.34240550524)
Reynolds Number,0.573691707246,[0 -1 0 0 0 0 0]
Fit,0.0416278445257,[1 -3 -1 0 0 0 0]
K,0.00379998022226,[0 0 1 0 0 0 0]
TCAT Approx 1,5.90139892118e-11,[1 -1 -3 0 0 0 0]
e_w,0.397724760839,[0 0 0 0 0 0 0]
e_ws,1.88658154337,[0 -1 0 0 0 0 0]
sauder mean diameter,9.08580956174,[0 0 0 0 0 0 0]
Domain Volume,300.364666563,[0 3 0 0 0 0 0]
w_volume,119.462465173,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000322,[1 -3 0 0 0 0 0]
Macroscale U,(0.0560718600702 -0.000826997652271 -0.00363955557559),[0 1 -1 0 0 0 0]
Macroscale p,32.1611019329,[1 -1 -2 0 0 0 0]
Macroscale t,(-32.1611041865 -8.86718222046e-08 -8.9246744777e-08 -8.86718222046e-08 -32.1611029069 3.65098665634e-08 -8.9246744777e-08 3.65098665634e-08 -32.1611029936),[1 -1 -2 0 0 0 0]
Macroscale d,(-4.80317733264e-05 -7.97412999204e-05 -0.0001449341042 -7.97412999204e-05 -5.56618241323e-08 1.41341533206e-08 -0.0001449341042 1.41341533206e-08 -6.12296844637e-08),[0 0 -1 0 0 0 0]
Macroscale mu,32161.1019119,[0 2 -2 0 0 0 0]
Macroscale psi,-32144.9848991,[0 2 -2 0 0 0 0]
Mass error,-7.43984023558e-15,[1 -3 -1 0 0 0 0]
Momentum error,(-9.05929942174e-09 2.36635798848e-09 -3.47472899342e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(1.35117641764e-07 -8.24866984611e-09 -1.22066329042e-08),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000003155 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.31297613919 -3.40350932545e-06 -3.85225379839e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.588703921368 3.39289429762e-06 3.851380608e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.31297039179 -1.17721302621e-06 3.6442982158e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.31296260431 -1.13847126542e-06 3.5202340493e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.31952044494 -1.09737462353e-05 -6.27519117733e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.31718629426 1.09875763383e-05 7.58307028318e-06),[1 -2 -2 0 0 0 0]
