Time,23871
domain_center,(3.3442248792 3.34608791044 3.34240550524)
Reynolds Number,171.938963087,[0 -1 0 0 0 0 0]
Fit,0.0480708606264,[1 -3 -1 0 0 0 0]
K,0.00329066265761,[0 0 1 0 0 0 0]
TCAT Approx 1,0.000783949375164,[1 -1 -3 0 0 0 0]
e_w,0.397724760839,[0 0 0 0 0 0 0]
e_ws,1.88658154337,[0 -1 0 0 0 0 0]
sauder mean diameter,9.08580956174,[0 0 0 0 0 0 0]
Domain Volume,300.364666563,[0 3 0 0 0 0 0]
w_volume,119.462465173,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000378,[1 -3 0 0 0 0 0]
Macroscale U,(16.8215361111 -0.186912222508 -0.814318728787),[0 1 -1 0 0 0 0]
Macroscale p,37.823788542,[1 -1 -2 0 0 0 0]
Macroscale t,(-38.0238249443 0.00222747794316 0.00809559593903 0.00222747794316 -37.900885314 0.00525182694199 0.00809559593903 0.00525182694199 -37.9141800099),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.0143943766971 -0.0502183539003 -0.0424802728498 -0.0502183539003 -1.81406891659e-05 3.79227668843e-06 -0.0424802728498 3.79227668843e-06 -1.96281162079e-05),[0 0 -1 0 0 0 0]
Macroscale mu,37823.7885072,[0 2 -2 0 0 0 0]
Macroscale psi,-32144.9849064,[0 2 -2 0 0 0 0]
Mass error,3.50458273634e-13,[1 -3 -1 0 0 0 0]
Momentum error,(-7.87396758906e-10 9.47447943234e-09 -3.06446900497e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(0.00998284612361 -0.00142653385177 -0.00105080567031),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000003711 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(4.1198380075 -0.000856916524516 -0.000826937830017),[1 -2 -2 0 0 0 0]
Macroscale T,(-0.208175242006 -0.000569626801736 -0.000223864775824),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-4.11810867367 -1.34850369508e-05 0.000488991629796),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-4.11608594632 -3.87716218174e-06 4.37201255872e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-4.12581201156 -2.50065324717e-05 0.000438751917339),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.31718629364 1.09875943722e-05 7.58311414007e-06),[1 -2 -2 0 0 0 0]
