Time,15264
domain_center,(3.3442248792 3.34608791044 3.34240550524)
Reynolds Number,28.6809452923,[0 -1 0 0 0 0 0]
Fit,0.0421440767305,[1 -3 -1 0 0 0 0]
K,0.00375343341644,[0 0 1 0 0 0 0]
TCAT Approx 1,2.0993382488e-06,[1 -1 -3 0 0 0 0]
e_w,0.397724760839,[0 0 0 0 0 0 0]
e_ws,1.88658154337,[0 -1 0 0 0 0 0]
sauder mean diameter,9.08580956174,[0 0 0 0 0 0 0]
Domain Volume,300.364666563,[0 3 0 0 0 0 0]
w_volume,119.462465173,[0 3 0 0 0 0 0]
Macroscale rho,0.0010000000033,[1 -3 0 0 0 0 0]
Macroscale U,(2.80359524325 -0.0382295231085 -0.177053824955),[0 1 -1 0 0 0 0]
Macroscale p,32.9618215315,[1 -1 -2 0 0 0 0]
Macroscale t,(-32.9673870965 0.000103873192705 0.000390690108358 0.000103873192705 -32.9642468448 0.000115952457783 0.000390690108358 0.000115952457783 -32.9644930087),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.00240455157601 -0.00577035213019 -0.00885722370069 -0.00577035213019 -2.83112936589e-06 6.97677602653e-07 -0.00885722370069 6.97677602653e-07 -3.10034791877e-06),[0 0 -1 0 0 0 0]
Macroscale mu,32961.8215087,[0 2 -2 0 0 0 0]
Macroscale psi,-32144.9849002,[0 2 -2 0 0 0 0]
Mass error,1.78295976313e-14,[1 -3 -1 0 0 0 0]
Momentum error,(2.23528190402e-09 1.12079856537e-09 9.64833074519e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(0.000313236928333 -2.90001711824e-05 -3.69237418609e-05),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000003234 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.42891544747 -0.000205301064505 -0.000188030235461),[1 -2 -2 0 0 0 0]
Macroscale T,(0.473077703912 0.000176299772524 0.000151096845269),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.42862809617 -2.18380750442e-06 0.000101836191353),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.42824057835 -1.60183640103e-06 3.64988789473e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.43534122722 -1.22244811648e-05 5.80545405078e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.31718629416 1.09875791393e-05 7.58307621079e-06),[1 -2 -2 0 0 0 0]
