Time,4782
domain_center,(3.3442248792 3.34608791044 3.34240550524)
Reynolds Number,0.430268951782,[0 -1 0 0 0 0 0]
Fit,0.041626492615,[1 -3 -1 0 0 0 0]
K,0.00380010363486,[0 0 1 0 0 0 0]
TCAT Approx 1,3.03642777798e-11,[1 -1 -3 0 0 0 0]
e_w,0.397724760839,[0 0 0 0 0 0 0]
e_ws,1.88658154337,[0 -1 0 0 0 0 0]
sauder mean diameter,9.08580956174,[0 0 0 0 0 0 0]
Domain Volume,300.364666563,[0 3 0 0 0 0 0]
w_volume,119.462465173,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000322,[1 -3 0 0 0 0 0]
Macroscale U,(0.0420538947387 -0.000620425840069 -0.00272989030451),[0 1 -1 0 0 0 0]
Macroscale p,32.1570722418,[1 -1 -2 0 0 0 0]
Macroscale t,(-32.1570735138 -7.62414969491e-08 -9.84960442253e-08 -7.62414969491e-08 -32.1570727876 2.05173642015e-08 -9.84960442253e-08 2.05173642015e-08 -32.1570728363),[1 -1 -2 0 0 0 0]
Macroscale d,(-3.60239324468e-05 -5.96450204537e-05 -0.000108511452841 -5.96450204537e-05 -4.17426430072e-08 1.06011759045e-08 -0.000108511452841 1.06011759045e-08 -4.59193673462e-08),[0 0 -1 0 0 0 0]
Macroscale mu,32157.0722213,[0 2 -2 0 0 0 0]
Macroscale psi,-32144.9848991,[0 2 -2 0 0 0 0]
Mass error,-2.12424441626e-15,[1 -3 -1 0 0 0 0]
Momentum error,(-8.9907656875e-09 2.39115639837e-09 -3.35582969987e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(7.60449222054e-08 -4.62833613055e-09 -6.8566012148e-09),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000003155 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.31239192903 -2.2555869537e-06 -3.76720264657e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.589288072385 2.24856746117e-06 3.76685256942e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.31238761847 -1.18168175436e-06 3.61106281742e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.31238176638 -1.13605902941e-06 3.51957120021e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.3189368504 -1.09771985219e-05 -6.60194458926e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.31718629427 1.09875763271e-05 7.58307025599e-06),[1 -2 -2 0 0 0 0]
