Time,16260
domain_center,(3.3442248792 3.34608791044 3.34240550524)
Reynolds Number,34.4158070043,[0 -1 0 0 0 0 0]
Fit,0.042300832387,[1 -3 -1 0 0 0 0]
K,0.00373952418858,[0 0 1 0 0 0 0]
TCAT Approx 1,3.53854646252e-06,[1 -1 -3 0 0 0 0]
e_w,0.397724760839,[0 0 0 0 0 0 0]
e_ws,1.88658154337,[0 -1 0 0 0 0 0]
sauder mean diameter,9.08580956174,[0 0 0 0 0 0 0]
Domain Volume,300.364666563,[0 3 0 0 0 0 0]
w_volume,119.462465173,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000331,[1 -3 0 0 0 0 0]
Macroscale U,(3.36431515704 -0.0452203586063 -0.210519334278),[0 1 -1 0 0 0 0]
Macroscale p,33.1293322344,[1 -1 -2 0 0 0 0]
Macroscale t,(-33.1373468968 0.000146070387255 0.000557597423663 0.000146070387255 -33.1328056574 0.000174047331762 0.000557597423663 0.000174047331762 -33.1331699368),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.00288632139185 -0.00727038724531 -0.0108845465899 -0.00727038724531 -3.40873591933e-06 8.34318511018e-07 -0.0108845465899 8.34318511018e-07 -3.73085752238e-06),[0 0 -1 0 0 0 0]
Macroscale mu,33129.3322115,[0 2 -2 0 0 0 0]
Macroscale psi,-32144.9849004,[0 2 -2 0 0 0 0]
Mass error,3.84547522616e-14,[1 -3 -1 0 0 0 0]
Momentum error,(1.79963077773e-09 1.23746800591e-09 9.74839055662e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(0.000446012381803 -4.36426275178e-05 -5.44758792794e-05),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.8100000325 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.45309721475 -0.000241680260698 -0.000215472393334),[1 -2 -2 0 0 0 0]
Macroscale T,(0.449028712588 0.000198036395712 0.000160986765664),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.45275237884 -2.6352947912e-06 0.000115291949464),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.45228834874 -1.69447934215e-06 3.67647104917e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.4594996257 -1.27269807819e-05 7.1287787912e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.31718629414 1.09875797324e-05 7.58307749777e-06),[1 -2 -2 0 0 0 0]
