Time,2298
domain_center,(3.3442248792 3.34608791044 3.34240550524)
Reynolds Number,0.00573740573907,[0 -1 0 0 0 0 0]
Fit,0.0416429092315,[1 -3 -1 0 0 0 0]
K,0.00379860554442,[0 0 1 0 0 0 0]
TCAT Approx 1,4.45339291417e-15,[1 -1 -3 0 0 0 0]
e_w,0.397724760839,[0 0 0 0 0 0 0]
e_ws,1.88658154337,[0 -1 0 0 0 0 0]
sauder mean diameter,9.08580956174,[0 0 0 0 0 0 0]
Domain Volume,300.364666563,[0 3 0 0 0 0 0]
w_volume,119.462465173,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000321,[1 -3 0 0 0 0 0]
Macroscale U,(0.00056071798682 -8.31945021878e-06 -3.71255361421e-05),[0 1 -1 0 0 0 0]
Macroscale p,32.1451459394,[1 -1 -2 0 0 0 0]
Macroscale t,(-32.1451459398 -1.60938716274e-09 -2.67813458506e-09 -1.60938716274e-09 -32.1451459393 3.8905087816e-12 -2.67813458506e-09 3.8905087816e-12 -32.1451459394),[1 -1 -2 0 0 0 0]
Macroscale d,(-4.80278694884e-07 -9.05365595699e-07 -1.50586249455e-06 -9.05365595699e-07 -5.56106126423e-10 1.41962741179e-10 -1.50586249455e-06 1.41962741179e-10 -6.09551574132e-10),[0 0 -1 0 0 0 0]
Macroscale mu,32145.1459191,[0 2 -2 0 0 0 0]
Macroscale psi,-32144.9848991,[0 2 -2 0 0 0 0]
Mass error,-3.0383947496e-17,[1 -3 -1 0 0 0 0]
Momentum error,(-4.08482736525e-09 3.78065475726e-11 -9.05856982779e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(1.3564362623e-11 -9.21478286809e-13 -1.26697309754e-12),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000003153 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.31066289845 1.14974463871e-06 -3.5147845933e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.591017022017 -1.14978336673e-06 3.51569032358e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.31066284098 -1.19563027186e-06 3.51269968843e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.31066271603 -1.12891555393e-06 3.51760887038e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.3172096442 -1.09875391759e-05 -7.56999407608e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.31718629427 1.0987576284e-05 7.58307017464e-06),[1 -2 -2 0 0 0 0]
