Time,9938
domain_center,(3.3442248792 3.34608791044 3.34240550524)
Reynolds Number,4.58948214446,[0 -1 0 0 0 0 0]
Fit,0.0416719658075,[1 -3 -1 0 0 0 0]
K,0.00379595689403,[0 0 1 0 0 0 0]
TCAT Approx 1,1.23766882225e-08,[1 -1 -3 0 0 0 0]
e_w,0.397724760839,[0 0 0 0 0 0 0]
e_ws,1.88658154337,[0 -1 0 0 0 0 0]
sauder mean diameter,9.08580956174,[0 0 0 0 0 0 0]
Domain Volume,300.364666563,[0 3 0 0 0 0 0]
w_volume,119.462465173,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000323,[1 -3 0 0 0 0 0]
Macroscale U,(0.448574894717 -0.00654535424074 -0.0290542109683),[0 1 -1 0 0 0 0]
Macroscale p,32.2740616,[1 -1 -2 0 0 0 0]
Macroscale t,(-32.2742044352 2.13077478898e-06 8.69547186885e-06 2.13077478898e-06 -32.2741245408 2.41713758274e-06 8.69547186885e-06 2.41713758274e-06 -32.2741301767),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.00038426467479 -0.00068512083188 -0.00120237475063 -0.00068512083188 -4.46375820007e-07 1.12906294021e-07 -0.00120237475063 1.12906294021e-07 -4.90651105902e-07),[0 0 -1 0 0 0 0]
Macroscale mu,32274.061579,[0 2 -2 0 0 0 0]
Macroscale psi,-32144.9848993,[0 2 -2 0 0 0 0]
Mass error,3.09645674029e-15,[1 -3 -1 0 0 0 0]
Momentum error,(2.91224355742e-09 1.10714675175e-09 9.37871443024e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(8.53432890622e-06 -5.64876427954e-07 -8.07064405689e-07),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000003166 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.32935221014 -3.50238484646e-05 -6.18876674424e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.572336237701 3.44578648899e-05 6.10712243223e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.32930623305 -1.10309022938e-06 4.57497938395e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.32924417037 -1.20579245645e-06 3.53877557345e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.33587929193 -1.09342324791e-05 2.88157362706e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.31718629425 1.09875767252e-05 7.58307106918e-06),[1 -2 -2 0 0 0 0]
