Time,14249
domain_center,(3.3442248792 3.34608791044 3.34240550524)
Reynolds Number,22.9455584769,[0 -1 0 0 0 0 0]
Fit,0.0420024939548,[1 -3 -1 0 0 0 0]
K,0.00376608555847,[0 0 1 0 0 0 0]
TCAT Approx 1,1.11865548438e-06,[1 -1 -3 0 0 0 0]
e_w,0.397724760839,[0 0 0 0 0 0 0]
e_ws,1.88658154337,[0 -1 0 0 0 0 0]
sauder mean diameter,9.08580956174,[0 0 0 0 0 0 0]
Domain Volume,300.364666563,[0 3 0 0 0 0 0]
w_volume,119.462465173,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000328,[1 -3 0 0 0 0 0]
Macroscale U,(2.24287563975 -0.0310581975253 -0.142790894858),[0 1 -1 0 0 0 0]
Macroscale p,32.7959774701,[1 -1 -2 0 0 0 0]
Macroscale t,(-32.7995396529 6.77218691623e-05 0.000251192407046 6.77218691623e-05 -32.7975372783 7.09053245938e-05 0.000251192407046 7.09053245938e-05 -32.7976905695),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.0019230026001 -0.00436717950094 -0.00687476957692 -0.00436717950094 -2.25712603335e-06 5.59921235607e-07 -0.00687476957692 5.59921235607e-07 -2.47346752116e-06),[0 0 -1 0 0 0 0]
Macroscale mu,32795.9774478,[0 2 -2 0 0 0 0]
Macroscale psi,-32144.9849,[0 2 -2 0 0 0 0]
Mass error,1.74186844424e-14,[1 -3 -1 0 0 0 0]
Momentum error,(2.47509718276e-09 1.18337545758e-09 9.60458606665e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(0.000202997038962 -1.76533709814e-05 -2.29262415458e-05),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000003217 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.40494318506 -0.000167481818462 -0.000159763657238),[1 -2 -2 0 0 0 0]
Macroscale T,(0.496939726124 0.000149827264106 0.000136827811106),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.40471331029 -1.76951358878e-06 8.84261443872e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.40440284469 -1.50862870304e-06 3.62338442145e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.41139266468 -1.17596036752e-05 4.48649518557e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.31718629418 1.09875785533e-05 7.58307492906e-06),[1 -2 -2 0 0 0 0]
