Time,17319
domain_center,(2.97014829321 2.97089197075 2.97074207441)
Reynolds Number,14.6369478921,[0 -1 0 0 0 0 0]
Fit,0.0400261406287,[1 -3 -1 0 0 0 0]
K,0.00527896467468,[0 0 1 0 0 0 0]
TCAT Approx 1,5.36460072136e-07,[1 -1 -3 0 0 0 0]
e_w,0.459670079298,[0 0 0 0 0 0 0]
e_ws,2.16051718183,[0 -1 0 0 0 0 0]
sauder mean diameter,7.05284000465,[0 0 0 0 0 0 0]
Domain Volume,210.190741338,[0 3 0 0 0 0 0]
w_volume,96.6183947385,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000304,[1 -3 0 0 0 0 0]
Macroscale U,(1.84602140763 -0.0601020068189 0.0123533910092),[0 1 -1 0 0 0 0]
Macroscale p,30.3539362142,[1 -1 -2 0 0 0 0]
Macroscale t,(-30.3565718771 0.000229324428887 1.59544278532e-05 0.000229324428887 -30.3547937261 3.10099322164e-05 1.59544278532e-05 3.10099322164e-05 -30.3545084284),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.000152329566208 0.00152326357667 0.00203929326285 0.00152326357667 -1.15488528606e-06 4.21095704529e-08 0.00203929326285 4.21095704529e-08 -1.49880085357e-06),[0 0 -1 0 0 0 0]
Macroscale mu,30353.9361974,[0 2 -2 0 0 0 0]
Macroscale psi,-29920.1005186,[0 2 -2 0 0 0 0]
Mass error,2.69137730728e-14,[1 -3 -1 0 0 0 0]
Momentum error,(1.69405220407e-09 -9.73969150715e-09 1.43318596726e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(0.000296028879844 6.89111015994e-06 1.22090630288e-05),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000002978 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(4.66555761968 -2.98419471676e-05 4.62013684582e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(-0.155898100898 3.6742797019e-05 -3.39937386153e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-4.66532736371 -1.12636814087e-05 4.66604385825e-06),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-4.66518206202 -1.22842619398e-05 -6.19100506175e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-4.66555966868 -3.67712556216e-06 7.37457715501e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(4.59167055622 4.60804182711e-06 3.06593351434e-06),[1 -2 -2 0 0 0 0]
