Time,30265
domain_center,(2.97014829321 2.97089197075 2.97074207441)
Reynolds Number,121.96591688,[0 -1 0 0 0 0 0]
Fit,0.0462144857431,[1 -3 -1 0 0 0 0]
K,0.0045720855512,[0 0 1 0 0 0 0]
TCAT Approx 1,-4.25961686437e-05,[1 -1 -3 0 0 0 0]
e_w,0.459670079298,[0 0 0 0 0 0 0]
e_ws,2.16051718183,[0 -1 0 0 0 0 0]
sauder mean diameter,7.05284000465,[0 0 0 0 0 0 0]
Domain Volume,210.190741338,[0 3 0 0 0 0 0]
w_volume,96.6183947385,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000341,[1 -3 0 0 0 0 0]
Macroscale U,(15.3837792776 -0.466288103615 0.0468540343831),[0 1 -1 0 0 0 0]
Macroscale p,34.0967031918,[1 -1 -2 0 0 0 0]
Macroscale t,(-34.2600190707 0.0123774527154 0.00276086819114 0.0123774527154 -34.1489185193 0.000772168514047 0.00276086819114 0.000772168514047 -34.1326421629),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.0017184243312 -0.0172660023142 0.00962445025627 -0.0172660023142 -9.75203386924e-06 3.83738217666e-07 0.00962445025627 3.83738217666e-07 -1.25760470841e-05),[0 0 -1 0 0 0 0]
Macroscale mu,34096.7031658,[0 2 -2 0 0 0 0]
Macroscale psi,-29920.1005228,[0 2 -2 0 0 0 0]
Mass error,2.61193552579e-13,[1 -3 -1 0 0 0 0]
Momentum error,(1.64416891213e-09 9.69621668037e-09 -1.58935772204e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(0.0169374360505 -0.00103374729687 0.000918124584374),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000003345 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(5.3042617656 -0.000150286907376 -0.000100875725284),[1 -2 -2 0 0 0 0]
Macroscale T,(-0.777960837906 -0.00088347008571 0.00101900189901),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-5.30236305454 -6.1879354481e-05 0.000123800873456),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-5.30136168233 -1.41022994272e-05 -7.63978090949e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-5.3026240037 -5.33573968605e-05 0.000126843315057),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(4.5916705556 4.60807663393e-06 3.06592160875e-06),[1 -2 -2 0 0 0 0]
