Time,28929
domain_center,(2.97014829321 2.97089197075 2.97074207441)
Reynolds Number,97.5730341547,[0 -1 0 0 0 0 0]
Fit,0.044744273948,[1 -3 -1 0 0 0 0]
K,0.00472231559166,[0 0 1 0 0 0 0]
TCAT Approx 1,-2.14345487455e-05,[1 -1 -3 0 0 0 0]
e_w,0.459670079298,[0 0 0 0 0 0 0]
e_ws,2.16051718183,[0 -1 0 0 0 0 0]
sauder mean diameter,7.05284000465,[0 0 0 0 0 0 0]
Domain Volume,210.190741338,[0 3 0 0 0 0 0]
w_volume,96.6183947385,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000332,[1 -3 0 0 0 0 0]
Macroscale U,(12.3069977492 -0.374606910365 0.0423392185219),[0 1 -1 0 0 0 0]
Macroscale p,33.1576111348,[1 -1 -2 0 0 0 0]
Macroscale t,(-33.2640095856 0.00839454565693 0.00166447065378 0.00839454565693 -33.1918380054 0.000605238030479 0.00166447065378 0.000605238030479 -33.1810299439),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.0013198538459 -0.0131909346196 0.0101837421184 -0.0131909346196 -7.78279741406e-06 2.9872949279e-07 0.0101837421184 2.9872949279e-07 -1.00470494003e-05),[0 0 -1 0 0 0 0]
Macroscale mu,33157.6111113,[0 2 -2 0 0 0 0]
Macroscale psi,-29920.1005217,[0 2 -2 0 0 0 0]
Mass error,2.46456659159e-13,[1 -3 -1 0 0 0 0]
Momentum error,(1.29822008699e-09 9.77249392569e-09 -1.56384040103e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(0.0111587588689 -0.000616756404925 0.000633856335447),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000003253 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(5.14360689915 -0.000140914909647 -4.43316182483e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(-0.62308464872 -0.000475851267772 0.000678189517536),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-5.14208447253 -3.97335794428e-05 9.02797984044e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-5.14124656096 -1.36527108915e-05 -7.29646935939e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-5.14233823452 -3.14460989492e-05 9.32392725757e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(4.59167055575 4.60806618556e-06 3.06592476721e-06),[1 -2 -2 0 0 0 0]
