Time,31505
domain_center,(2.97014829321 2.97089197075 2.97074207441)
Reynolds Number,146.359383652,[0 -1 0 0 0 0 0]
Fit,0.0476679219584,[1 -3 -1 0 0 0 0]
K,0.0044326787043,[0 0 1 0 0 0 0]
TCAT Approx 1,-6.42422351907e-05,[1 -1 -3 0 0 0 0]
e_w,0.459670079298,[0 0 0 0 0 0 0]
e_ws,2.16051718183,[0 -1 0 0 0 0 0]
sauder mean diameter,7.05284000465,[0 0 0 0 0 0 0]
Domain Volume,210.190741338,[0 3 0 0 0 0 0]
w_volume,96.6183947385,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000351,[1 -3 0 0 0 0 0]
Macroscale U,(18.4605554748 -0.560875905598 0.0473364685982),[0 1 -1 0 0 0 0]
Macroscale p,35.0847392253,[1 -1 -2 0 0 0 0]
Macroscale t,(-35.3163773641 0.0169160553272 0.00415614912793 0.0169160553272 -35.1584119593 0.000918834931234 0.00415614912793 0.000918834931234 -35.1357096287),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.00212954903495 -0.0207724357953 0.0081924511142 -0.0207724357953 -1.17313028036e-05 4.72907568208e-07 0.0081924511142 4.72907568208e-07 -1.51079559032e-05),[0 0 -1 0 0 0 0]
Macroscale mu,35084.739197,[0 2 -2 0 0 0 0]
Macroscale psi,-29920.1005239,[0 2 -2 0 0 0 0]
Mass error,2.16604893975e-13,[1 -3 -1 0 0 0 0]
Momentum error,(2.37882569198e-09 9.28165453827e-09 -2.52518081879e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(0.0238184478798 -0.00151686005352 0.00122133086407),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000003442 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(5.47365182279 -0.000151763491752 -0.000162694380789),[1 -2 -2 0 0 0 0]
Macroscale T,(-0.940469883553 -0.00136510584342 0.00138402777004),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-5.4713783619 -9.04668665097e-05 0.000161609637371),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-5.47023312421 -1.45723846357e-05 -7.9914139683e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-5.47164687313 -8.16980931006e-05 0.000164740364149),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(4.59167055545 4.60808853373e-06 3.06591854685e-06),[1 -2 -2 0 0 0 0]
