Time,8972
domain_center,(2.97014829321 2.97089197075 2.97074207441)
Reynolds Number,1.95166548052,[0 -1 0 0 0 0 0]
Fit,0.0395301129846,[1 -3 -1 0 0 0 0]
K,0.00534520562886,[0 0 1 0 0 0 0]
TCAT Approx 1,1.69230227321e-09,[1 -1 -3 0 0 0 0]
e_w,0.459670079298,[0 0 0 0 0 0 0]
e_ws,2.16051718183,[0 -1 0 0 0 0 0]
sauder mean diameter,7.05284000465,[0 0 0 0 0 0 0]
Domain Volume,210.190741338,[0 3 0 0 0 0 0]
w_volume,96.6183947385,[0 3 0 0 0 0 0]
Macroscale rho,0.001000000003,[1 -3 0 0 0 0 0]
Macroscale U,(0.246135487019 -0.00823636794337 0.00198488681211),[0 1 -1 0 0 0 0]
Macroscale p,29.9771611176,[1 -1 -2 0 0 0 0]
Macroscale t,(-29.9772091006 4.56678582221e-06 4.71521808379e-07 4.56678582221e-06 -29.9771765125 6.5205461217e-07 4.71521808379e-07 6.5205461217e-07 -29.9771714025),[1 -1 -2 0 0 0 0]
Macroscale d,(-1.89405059893e-05 0.000282988894508 0.000194698384198 0.000282988894508 -1.53731292866e-07 5.60109485957e-09 0.000194698384198 5.60109485957e-09 -1.99591390425e-07),[0 0 -1 0 0 0 0]
Macroscale mu,29977.161102,[0 2 -2 0 0 0 0]
Macroscale psi,-29920.1005182,[0 2 -2 0 0 0 0]
Mass error,7.20251093108e-15,[1 -3 -1 0 0 0 0]
Momentum error,(5.89911805515e-09 -8.06291938209e-09 4.00356922128e-11),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(5.52015114604e-06 1.80845977563e-07 1.58727783087e-07),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000002941 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(4.60120163802 5.76915038322e-06 1.33971588959e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(-0.0918326323433 -5.58024148627e-06 -1.32384711485e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-4.60117089837 -1.18779827524e-05 -4.5141061234e-06),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-4.60114540644 -1.20949546457e-05 -6.02905918939e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-4.60140031989 -4.38588007956e-06 -1.83895163607e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(4.59167055628 4.60803937896e-06 3.06593430043e-06),[1 -2 -2 0 0 0 0]
