Time,19820
domain_center,(2.97014829321 2.97089197075 2.97074207441)
Reynolds Number,24.3944191854,[0 -1 0 0 0 0 0]
Fit,0.0404912679221,[1 -3 -1 0 0 0 0]
K,0.00521832467326,[0 0 1 0 0 0 0]
TCAT Approx 1,1.89234732209e-06,[1 -1 -3 0 0 0 0]
e_w,0.459670079298,[0 0 0 0 0 0 0]
e_ws,2.16051718183,[0 -1 0 0 0 0 0]
sauder mean diameter,7.05284000465,[0 0 0 0 0 0 0]
Domain Volume,210.190741338,[0 3 0 0 0 0 0]
w_volume,96.6183947385,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000307,[1 -3 0 0 0 0 0]
Macroscale U,(3.07670944103 -0.0985659778967 0.017755350238),[0 1 -1 0 0 0 0]
Macroscale p,30.6521130731,[1 -1 -2 0 0 0 0]
Macroscale t,(-30.6593189334 0.000624068689085 5.4326596555e-05 0.000624068689085 -30.6544656695 7.64714545875e-05 5.4326596555e-05 7.64714545875e-05 -30.6536855083),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.000266262236611 0.00141468530593 0.00390144623903 0.00141468530593 -1.92743776392e-06 7.03285789522e-08 0.00390144623903 7.03285789522e-08 -2.50008089593e-06),[0 0 -1 0 0 0 0]
Macroscale mu,30652.1130554,[0 2 -2 0 0 0 0]
Macroscale psi,-29920.100519,[0 2 -2 0 0 0 0]
Mass error,1.81661450046e-14,[1 -3 -1 0 0 0 0]
Momentum error,(3.22319032575e-09 -9.37469378301e-09 1.16952616722e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(0.000798275303062 8.30162025115e-06 3.98576112189e-05),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000003007 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(4.7163992159 -5.21008939629e-05 5.53720859093e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(-0.206237452088 6.04118889079e-05 -1.55156442165e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-4.71601583556 -1.16193015834e-05 1.28242605245e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-4.71577973639 -1.24327275976e-05 -6.31646272164e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-4.71625042246 -3.9584248037e-06 1.55597225492e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(4.59167055617 4.60804385235e-06 3.06593279231e-06),[1 -2 -2 0 0 0 0]
