Time,13450
domain_center,(2.97014829321 2.97089197075 2.97074207441)
Reynolds Number,4.39121238682,[0 -1 0 0 0 0 0]
Fit,0.0396135029246,[1 -3 -1 0 0 0 0]
K,0.00533395349658,[0 0 1 0 0 0 0]
TCAT Approx 1,1.77140891405e-08,[1 -1 -3 0 0 0 0]
e_w,0.459670079298,[0 0 0 0 0 0 0]
e_ws,2.16051718183,[0 -1 0 0 0 0 0]
sauder mean diameter,7.05284000465,[0 0 0 0 0 0 0]
Domain Volume,210.190741338,[0 3 0 0 0 0 0]
w_volume,96.6183947385,[0 3 0 0 0 0 0]
Macroscale rho,0.001000000003,[1 -3 0 0 0 0 0]
Macroscale U,(0.553805136516 -0.0184245095719 0.00432459966503),[0 1 -1 0 0 0 0]
Macroscale p,30.0487875532,[1 -1 -2 0 0 0 0]
Macroscale t,(-30.0490292604 2.16406123455e-05 1.55162100701e-06 2.16406123455e-05 -30.0488654211 3.1952517329e-06 1.55162100701e-06 3.1952517329e-06 -30.0488395526),[1 -1 -2 0 0 0 0]
Macroscale d,(-4.32099773055e-05 0.000614064814636 0.000471928360033 0.000614064814636 -3.46000279001e-07 1.26111052656e-08 0.000471928360033 1.26111052656e-08 -4.49191616207e-07),[0 0 -1 0 0 0 0]
Macroscale mu,30048.7875369,[0 2 -2 0 0 0 0]
Macroscale psi,-29920.1005183,[0 2 -2 0 0 0 0]
Mass error,1.64265224256e-14,[1 -3 -1 0 0 0 0]
Momentum error,(5.53251150448e-09 -8.25273631513e-09 6.43001559241e-10),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(2.76694926865e-05 8.81404700369e-07 8.55802136851e-07),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000002948 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(4.61344789557 -1.78228369296e-06 2.19152254368e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(-0.104056740153 2.67194112965e-06 -2.10600663015e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-4.61337874799 -1.16582539726e-05 -2.9104403767e-06),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-4.61333011967 -1.21311020206e-05 -6.0601287683e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-4.61360871767 -4.14810173306e-06 -2.28884166334e-07),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(4.59167055627 4.60803984061e-06 3.06593416263e-06),[1 -2 -2 0 0 0 0]
