Time,20729
domain_center,(2.97014829321 2.97089197075 2.97074207441)
Reynolds Number,29.2730813908,[0 -1 0 0 0 0 0]
Fit,0.0407426657488,[1 -3 -1 0 0 0 0]
K,0.00518612561474,[0 0 1 0 0 0 0]
TCAT Approx 1,2.75197066307e-06,[1 -1 -3 0 0 0 0]
e_w,0.459670079298,[0 0 0 0 0 0 0]
e_ws,2.16051718183,[0 -1 0 0 0 0 0]
sauder mean diameter,7.05284000465,[0 0 0 0 0 0 0]
Domain Volume,210.190741338,[0 3 0 0 0 0 0]
w_volume,96.6183947385,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000308,[1 -3 0 0 0 0 0]
Macroscale U,(3.69205555716 -0.117512127944 0.0199243777822),[0 1 -1 0 0 0 0]
Macroscale p,30.8042355982,[1 -1 -2 0 0 0 0]
Macroscale t,(-30.814536296 0.000889739907694 8.6133352108e-05 0.000889739907694 -30.8076003304 0.000104112665739 8.6133352108e-05 0.000104112665739 -30.8064876402),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.000326441772336 0.000998583825625 0.00483399646771 0.000998583825625 -2.31456242956e-06 8.45321011131e-08 0.00483399646771 8.45321011131e-08 -3.00120984714e-06),[0 0 -1 0 0 0 0]
Macroscale mu,30804.2355802,[0 2 -2 0 0 0 0]
Macroscale psi,-29920.1005191,[0 2 -2 0 0 0 0]
Mass error,-4.99792232489e-15,[1 -3 -1 0 0 0 0]
Momentum error,(5.44395126201e-09 8.02172169122e-09 -2.02806458282e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(0.00113473427064 3.81924127285e-06 6.02641106634e-05),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000003022 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(4.74231881835 -6.19226795832e-05 5.61308035195e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(-0.231820597719 6.57338991343e-05 4.13533520845e-06),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-4.74185899042 -1.20285027772e-05 1.71345355263e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-4.74157814245 -1.2508078217e-05 -6.37956927219e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-4.74209474163 -4.32966641208e-06 1.98833914116e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(4.59167055614 4.60804492882e-06 3.06593238634e-06),[1 -2 -2 0 0 0 0]
