Time,4647
domain_center,(2.97014829321 2.97089197075 2.97074207441)
Reynolds Number,0.121980104546,[0 -1 0 0 0 0 0]
Fit,0.0394721846296,[1 -3 -1 0 0 0 0]
K,0.00535305011406,[0 0 1 0 0 0 0]
TCAT Approx 1,1.11928690991e-12,[1 -1 -3 0 0 0 0]
e_w,0.459670079298,[0 0 0 0 0 0 0]
e_ws,2.16051718183,[0 -1 0 0 0 0 0]
sauder mean diameter,7.05284000465,[0 0 0 0 0 0 0]
Domain Volume,210.190741338,[0 3 0 0 0 0 0]
w_volume,96.6183947385,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000299,[1 -3 0 0 0 0 0]
Macroscale U,(0.0153834614082 -0.000518048815004 0.000127038621011),[0 1 -1 0 0 0 0]
Macroscale p,29.9236608101,[1 -1 -2 0 0 0 0]
Macroscale t,(-29.9236609993 4.794008603e-08 2.10093268102e-08 4.794008603e-08 -29.9236608698 2.61123293014e-09 2.10093268102e-08 2.61123293014e-09 -29.9236608498),[1 -1 -2 0 0 0 0]
Macroscale d,(-1.17130927183e-06 1.80102575123e-05 1.15544734759e-05 1.80102575123e-05 -9.60649068899e-09 3.49741400359e-10 1.15544734759e-05 3.49741400359e-10 -1.24719825594e-08),[0 0 -1 0 0 0 0]
Macroscale mu,29923.6607943,[0 2 -2 0 0 0 0]
Macroscale psi,-29920.1005182,[0 2 -2 0 0 0 0]
Mass error,-7.60908606839e-16,[1 -3 -1 0 0 0 0]
Momentum error,(-3.72319458597e-09 -8.92027687061e-09 2.41139942549e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(2.17354077271e-08 7.20000716229e-10 5.93691905195e-10),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000002936 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(4.59205068466 1.16838066235e-05 6.23768784506e-06),[1 -2 -2 0 0 0 0]
Macroscale T,(-0.082687167797 -1.16741663459e-05 -6.23950555259e-06),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-4.59204876309 -1.20721947839e-05 -5.66133156253e-06),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-4.59204063639 -1.20679050502e-05 -6.00577369221e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-4.59227777512 -4.59345858631e-06 -2.99124891358e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(4.59167055629 4.60803903786e-06 3.06593439592e-06),[1 -2 -2 0 0 0 0]
