Time,18733
domain_center,(2.97014829321 2.97089197075 2.97074207441)
Reynolds Number,19.5157148681,[0 -1 0 0 0 0 0]
Fit,0.040251552634,[1 -3 -1 0 0 0 0]
K,0.00524940203841,[0 0 1 0 0 0 0]
TCAT Approx 1,1.12324227081e-06,[1 -1 -3 0 0 0 0]
e_w,0.459670079298,[0 0 0 0 0 0 0]
e_ws,2.16051718183,[0 -1 0 0 0 0 0]
sauder mean diameter,7.05284000465,[0 0 0 0 0 0 0]
Domain Volume,210.190741338,[0 3 0 0 0 0 0]
w_volume,96.6183947385,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000305,[1 -3 0 0 0 0 0]
Macroscale U,(2.46136470772 -0.0794476497818 0.0152701405961),[0 1 -1 0 0 0 0]
Macroscale p,30.5020385093,[1 -1 -2 0 0 0 0]
Macroscale t,(-30.5066860482 0.000403404928691 3.13488462631e-05 0.000403404928691 -30.5035539776 5.18778930575e-05 3.13488462631e-05 5.18778930575e-05 -30.5030503545),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.000208164261531 0.00159470991538 0.00295290732085 0.00159470991538 -1.54088296196e-06 5.61950625276e-08 0.00295290732085 5.61950625276e-08 -1.99926480993e-06),[0 0 -1 0 0 0 0]
Macroscale mu,30502.0384921,[0 2 -2 0 0 0 0]
Macroscale psi,-29920.1005188,[0 2 -2 0 0 0 0]
Mass error,1.27898862038e-14,[1 -3 -1 0 0 0 0]
Momentum error,(1.76175929401e-09 -9.74170085524e-09 1.37711383748e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(0.00051816359039 8.89889249896e-06 2.37993611069e-05),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000002992 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(4.69081772547 -4.14435880498e-05 5.22200296539e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(-0.180936071979 5.03522222496e-05 -2.84220456608e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-4.69051086907 -1.13611171098e-05 8.65633435784e-06),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-4.6903199753 -1.23581395076e-05 -6.25361701206e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-4.69074430728 -3.73749046877e-06 1.13787053242e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(4.59167055619 4.60804282103e-06 3.06593316889e-06),[1 -2 -2 0 0 0 0]
