Time,23315
domain_center,(2.97014829321 2.97089197075 2.97074207441)
Reynolds Number,39.0303339241,[0 -1 0 0 0 0 0]
Fit,0.0412721736539,[1 -3 -1 0 0 0 0]
K,0.00511958939287,[0 0 1 0 0 0 0]
TCAT Approx 1,4.24877837602e-06,[1 -1 -3 0 0 0 0]
e_w,0.459670079298,[0 0 0 0 0 0 0]
e_ws,2.16051718183,[0 -1 0 0 0 0 0]
sauder mean diameter,7.05284000465,[0 0 0 0 0 0 0]
Domain Volume,210.190741338,[0 3 0 0 0 0 0]
w_volume,96.6183947385,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000311,[1 -3 0 0 0 0 0]
Macroscale U,(4.92275162731 -0.155043725915 0.0236859433521),[0 1 -1 0 0 0 0]
Macroscale p,31.1148052534,[1 -1 -2 0 0 0 0]
Macroscale t,(-31.1328715323 0.00154942607694 0.000179678901934 0.00154942607694 -31.1207039812 0.000166382533346 0.000179678901934 0.000166382533346 -31.1187662678),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.000452395347455 -0.000421277360649 0.00651537504791 -0.000421277360649 -3.09051398365e-06 1.13234301005e-07 0.00651537504791 1.13234301005e-07 -4.00431212529e-06),[0 0 -1 0 0 0 0]
Macroscale mu,31114.8052346,[0 2 -2 0 0 0 0]
Macroscale psi,-29920.1005195,[0 2 -2 0 0 0 0]
Mass error,2.52932716623e-14,[1 -3 -1 0 0 0 0]
Momentum error,(8.7965185136e-10 9.63334217672e-09 -2.28094449346e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(0.00197120116877 -2.03157426706e-05 0.000112715527233),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000003052 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(4.79521758383 -7.93880938546e-05 5.20659885351e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(-0.283882891599 5.90627178418e-05 6.06518196428e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-4.79460508823 -1.33133071476e-05 2.6104229085e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-4.79423636526 -1.26612116164e-05 -6.50664586585e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-4.79484321611 -5.53652980527e-06 2.88813074498e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(4.59167055609 4.60804725188e-06 3.06593151694e-06),[1 -2 -2 0 0 0 0]
