Time,6644
domain_center,(5.22988453099 5.2301407794 5.23094245444)
Reynolds Number,0.978363733764,[0 -1 0 0 0 0 0]
Fit,0.0142443359986,[1 -3 -1 0 0 0 0]
K,0.00861347850888,[0 0 1 0 0 0 0]
TCAT Approx 1,9.98493900349e-12,[1 -1 -3 0 0 0 0]
e_w,0.350276007414,[0 0 0 0 0 0 0]
e_ws,1.06588091886,[0 -1 0 0 0 0 0]
sauder mean diameter,11.1293490648,[0 0 0 0 0 0 0]
Domain Volume,1147.35425819,[0 3 0 0 0 0 0]
w_volume,401.890668647,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000512,[1 -3 0 0 0 0 0]
Macroscale U,(0.0781876144149 0.00233675169875 -0.00158158762257),[0 1 -1 0 0 0 0]
Macroscale p,51.1768453806,[1 -1 -2 0 0 0 0]
Macroscale t,(-51.1768505495 -1.71832497876e-07 1.63410426488e-07 -1.71832497876e-07 -51.1768472023 3.08244765928e-07 1.63410426488e-07 3.08244765928e-07 -51.1768474955),[1 -1 -2 0 0 0 0]
Macroscale d,(-6.02373348234e-06 1.16121151339e-05 3.6015062095e-06 1.16121151339e-05 -5.22084725185e-08 -1.28188133607e-09 3.6015062095e-06 -1.28188133607e-09 -4.22952914764e-08),[0 0 -1 0 0 0 0]
Macroscale mu,51176.845302,[0 2 -2 0 0 0 0]
Macroscale psi,-51162.5892908,[0 2 -2 0 0 0 0]
Mass error,-1.49637551889e-15,[1 -3 -1 0 0 0 0]
Momentum error,(-7.07490360741e-09 6.36092758769e-09 2.94576608586e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(2.37922414638e-07 4.55027250427e-09 -1.10962656261e-09),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.8100000502 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.0303880932 5.32297539169e-06 1.02424902225e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.405819802114 -5.32478604677e-06 -1.02465456151e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.03038528678 -1.39759895543e-06 -1.17186115231e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.03038292042 -1.66356072906e-06 -1.21211053469e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.02908668774 -2.80078497231e-05 -3.96286700246e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.02797295709 2.8242576797e-05 4.40011657654e-06),[1 -2 -2 0 0 0 0]
