Time,13632
domain_center,(5.22988453099 5.2301407794 5.23094245444)
Reynolds Number,19.5673212656,[0 -1 0 0 0 0 0]
Fit,0.0144601284297,[1 -3 -1 0 0 0 0]
K,0.00848493722567,[0 0 1 0 0 0 0]
TCAT Approx 1,9.84059080982e-08,[1 -1 -3 0 0 0 0]
e_w,0.350276007414,[0 0 0 0 0 0 0]
e_ws,1.06588091886,[0 -1 0 0 0 0 0]
sauder mean diameter,11.1293490648,[0 0 0 0 0 0 0]
Domain Volume,1147.35425819,[0 3 0 0 0 0 0]
w_volume,401.890668647,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000515,[1 -3 0 0 0 0 0]
Macroscale U,(1.56375267516 0.0469344735127 -0.0315013696442),[0 1 -1 0 0 0 0]
Macroscale p,51.4534850851,[1 -1 -2 0 0 0 0]
Macroscale t,(-51.4555267628 -8.0278790192e-05 6.67994177606e-05 -8.0278790192e-05 -51.4542097356 0.000120985058988 6.67994177606e-05 0.000120985058988 -51.45432606),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.000130253623362 7.43246366633e-05 0.000190497367318 7.43246366633e-05 -1.06249391855e-06 -1.92567501951e-08 0.000190497367318 -1.92567501951e-08 -8.56333610731e-07),[0 0 -1 0 0 0 0]
Macroscale mu,51453.4850052,[0 2 -2 0 0 0 0]
Macroscale psi,-51162.5892913,[0 2 -2 0 0 0 0]
Mass error,2.44630307021e-14,[1 -3 -1 0 0 0 0]
Momentum error,(3.69456049087e-09 -9.00242718175e-09 -1.93058877015e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(8.9436206047e-05 1.44746330804e-06 -3.94767215523e-07),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000005048 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.05194674381 6.27264231568e-05 -1.6526782344e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.384350339115 -6.12699574216e-05 1.61339457173e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.05189064013 3.0729730727e-06 -3.0330346371e-06),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.05184503486 -1.6506362007e-06 -1.21498482425e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.05058502158 -2.36810529322e-05 4.7646761141e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.02797295706 2.82425764859e-05 4.40011677386e-06),[1 -2 -2 0 0 0 0]
