Time,12947
domain_center,(5.22988453099 5.2301407794 5.23094245444)
Reynolds Number,16.3061039901,[0 -1 0 0 0 0 0]
Fit,0.0144125902154,[1 -3 -1 0 0 0 0]
K,0.00851292378169,[0 0 1 0 0 0 0]
TCAT Approx 1,5.38118560983e-08,[1 -1 -3 0 0 0 0]
e_w,0.350276007414,[0 0 0 0 0 0 0]
e_ws,1.06588091886,[0 -1 0 0 0 0 0]
sauder mean diameter,11.1293490648,[0 0 0 0 0 0 0]
Domain Volume,1147.35425819,[0 3 0 0 0 0 0]
w_volume,401.890668647,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000514,[1 -3 0 0 0 0 0]
Macroscale U,(1.30312747616 0.0390745663918 -0.0263063269697),[0 1 -1 0 0 0 0]
Macroscale p,51.4039881615,[1 -1 -2 0 0 0 0]
Macroscale t,(-51.4054075568 -5.52106574624e-05 4.59388571096e-05 -5.52106574624e-05 -51.4044926304 8.44625862524e-05 4.59388571096e-05 8.44625862524e-05 -51.4045736082),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.000107153714833 0.000103123242317 0.000131274186134 0.000103123242317 -8.82705244602e-07 -1.71164797345e-08 0.000131274186134 -1.71164797345e-08 -7.12206379979e-07),[0 0 -1 0 0 0 0]
Macroscale mu,51403.9880817,[0 2 -2 0 0 0 0]
Macroscale psi,-51162.5892912,[0 2 -2 0 0 0 0]
Mass error,2.04924468441e-14,[1 -3 -1 0 0 0 0]
Momentum error,(3.70671848771e-09 -9.08752989747e-09 -1.53091361418e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(6.26856287182e-05 1.1038276317e-06 -3.06481420338e-07),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000005043 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.04810551746 5.41605958842e-05 -1.29254361626e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.388164814851 -5.30476807226e-05 1.26204856558e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.04805876193 2.30298120959e-06 -4.61870352453e-06),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.04802059744 -1.65284214028e-06 -1.21446855797e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.04675439938 -2.4425350408e-05 3.17146250412e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.02797295707 2.82425765999e-05 4.40011673612e-06),[1 -2 -2 0 0 0 0]
