Time,3972
domain_center,(5.22988453099 5.2301407794 5.23094245444)
Reynolds Number,0.0815309495811,[0 -1 0 0 0 0 0]
Fit,0.0142401472851,[1 -3 -1 0 0 0 0]
K,0.00861601214796,[0 0 1 0 0 0 0]
TCAT Approx 1,7.14803091217e-15,[1 -1 -3 0 0 0 0]
e_w,0.350276007414,[0 0 0 0 0 0 0]
e_ws,1.06588091886,[0 -1 0 0 0 0 0]
sauder mean diameter,11.1293490648,[0 0 0 0 0 0 0]
Domain Volume,1147.35425819,[0 3 0 0 0 0 0]
w_volume,401.890668647,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000512,[1 -3 0 0 0 0 0]
Macroscale U,(0.00651563093719 0.00019678169614 -0.000131453635782),[0 1 -1 0 0 0 0]
Macroscale p,51.163776224,[1 -1 -2 0 0 0 0]
Macroscale t,(-51.163776261 3.63871979056e-10 1.67319330377e-09 3.63871979056e-10 -51.1637762361 2.14148450805e-09 1.67319330377e-09 2.14148450805e-09 -51.1637762381),[1 -1 -2 0 0 0 0]
Macroscale d,(-5.00009078016e-07 9.66280040142e-07 3.24540158864e-07 9.66280040142e-07 -4.34984927564e-09 -1.07021126345e-10 3.24540158864e-07 -1.07021126345e-10 -3.52197032118e-09),[0 0 -1 0 0 0 0]
Macroscale mu,51163.776145,[0 2 -2 0 0 0 0]
Macroscale psi,-51162.5892908,[0 2 -2 0 0 0 0]
Mass error,-2.05415251215e-16,[1 -3 -1 0 0 0 0]
Momentum error,(-5.42894212918e-09 8.11510751673e-09 1.95402858962e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(1.65967135646e-09 3.15772432472e-11 -6.97282636936e-12),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000005019 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.02936424172 1.94976508947e-06 1.19921366865e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.406843415677 -1.95784861975e-06 -1.19940976879e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.02936400785 -1.619681712e-06 -1.2117532964e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.02936375373 -1.66420043726e-06 -1.2119754864e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.02806574063 -2.82230238105e-05 -4.36364045677e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.02797295709 2.82425767855e-05 4.40011657154e-06),[1 -2 -2 0 0 0 0]
