Time,10848
domain_center,(5.22988453099 5.2301407794 5.23094245444)
Reynolds Number,6.52243602609,[0 -1 0 0 0 0 0]
Fit,0.0142936187628,[1 -3 -1 0 0 0 0]
K,0.00858378021931,[0 0 1 0 0 0 0]
TCAT Approx 1,3.01228150039e-09,[1 -1 -3 0 0 0 0]
e_w,0.350276007414,[0 0 0 0 0 0 0]
e_ws,1.06588091886,[0 -1 0 0 0 0 0]
sauder mean diameter,11.1293490648,[0 0 0 0 0 0 0]
Domain Volume,1147.35425819,[0 3 0 0 0 0 0]
w_volume,401.890668647,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000513,[1 -3 0 0 0 0 0]
Macroscale U,(0.521251028809 0.0155883785901 -0.0105599698478),[0 1 -1 0 0 0 0]
Macroscale p,51.258097282,[1 -1 -2 0 0 0 0]
Macroscale t,(-51.2583255068 -8.51013578537e-06 7.13989778937e-06 -8.51013578537e-06 -51.2581784186 1.36665320834e-05 7.13989778937e-06 1.36665320834e-05 -51.2581914335),[1 -1 -2 0 0 0 0]
Macroscale d,(-4.11289492666e-05 7.34875671574e-05 2.86452953983e-05 7.34875671574e-05 -3.49841870201e-07 -8.01596654131e-09 2.86452953983e-05 -8.01596654131e-09 -2.83068913567e-07),[0 0 -1 0 0 0 0]
Macroscale mu,51258.0972027,[0 2 -2 0 0 0 0]
Macroscale psi,-51162.589291,[0 2 -2 0 0 0 0]
Mass error,1.4572898865e-14,[1 -3 -1 0 0 0 0]
Momentum error,(3.80388182064e-09 -9.17907757605e-09 -5.74492524041e-11),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(1.03537653869e-05 2.03368280251e-07 -5.54048429631e-08),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000005028 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.03674288752 2.48136099093e-05 4.90088976337e-07),[1 -2 -2 0 0 0 0]
Macroscale T,(0.399475112787 -2.46010625514e-05 -5.45436370048e-07),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.03672418132 -3.99820760448e-08 -9.2151027532e-06),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.03670876591 -1.65962992322e-06 -1.2129516598e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.03542352057 -2.66923486556e-05 -1.44714950947e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.02797295708 2.82425767941e-05 4.40011663524e-06),[1 -2 -2 0 0 0 0]
