Time,7643
domain_center,(5.22988453099 5.2301407794 5.23094245444)
Reynolds Number,1.63060644028,[0 -1 0 0 0 0 0]
Fit,0.0142493393124,[1 -3 -1 0 0 0 0]
K,0.00861045409249,[0 0 1 0 0 0 0]
TCAT Approx 1,4.59449483419e-11,[1 -1 -3 0 0 0 0]
e_w,0.350276007414,[0 0 0 0 0 0 0]
e_ws,1.06588091886,[0 -1 0 0 0 0 0]
sauder mean diameter,11.1293490648,[0 0 0 0 0 0 0]
Domain Volume,1147.35425819,[0 3 0 0 0 0 0]
w_volume,401.890668647,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000512,[1 -3 0 0 0 0 0]
Macroscale U,(0.130312703264 0.00389403835197 -0.00263702672036),[0 1 -1 0 0 0 0]
Macroscale p,51.1863619781,[1 -1 -2 0 0 0 0]
Macroscale t,(-51.1863763118 -5.00494984225e-07 4.47537349873e-07 -5.00494984225e-07 -51.1863670457 8.56139011266e-07 4.47537349873e-07 8.56139011266e-07 -51.1863678602),[1 -1 -2 0 0 0 0]
Macroscale d,(-1.00675743539e-05 1.93818789206e-05 6.04461210561e-06 1.93818789206e-05 -8.70650220793e-08 -2.1227411757e-09 6.04461210561e-06 -2.1227411757e-09 -7.05252021055e-08),[0 0 -1 0 0 0 0]
Macroscale mu,51186.3618989,[0 2 -2 0 0 0 0]
Macroscale psi,-51162.5892908,[0 2 -2 0 0 0 0]
Mass error,-5.08737885536e-15,[1 -3 -1 0 0 0 0]
Momentum error,(-7.18695808422e-09 6.26800558047e-09 2.89772459727e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(6.59164528584e-07 1.26853005126e-08 -3.15513664838e-09),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000005021 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.03113334477 7.73632349451e-06 9.00149575002e-06),[1 -2 -2 0 0 0 0]
Macroscale T,(0.405074971895 -7.72990619958e-06 -9.00754861127e-06),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.03112866752 -1.23654480837e-06 -1.14274750376e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.03112476466 -1.66309605253e-06 -1.21220891406e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.02982982701 -2.78516425378e-05 -3.67023365628e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.02797295709 2.82425767995e-05 4.40011658601e-06),[1 -2 -2 0 0 0 0]
