Time,11554
domain_center,(5.22988453099 5.2301407794 5.23094245444)
Reynolds Number,9.783661079,[0 -1 0 0 0 0 0]
Fit,0.0143289892235,[1 -3 -1 0 0 0 0]
K,0.00856259154677,[0 0 1 0 0 0 0]
TCAT Approx 1,1.05366728421e-08,[1 -1 -3 0 0 0 0]
e_w,0.350276007414,[0 0 0 0 0 0 0]
e_ws,1.06588091886,[0 -1 0 0 0 0 0]
sauder mean diameter,11.1293490648,[0 0 0 0 0 0 0]
Domain Volume,1147.35425819,[0 3 0 0 0 0 0]
w_volume,401.890668647,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000513,[1 -3 0 0 0 0 0]
Macroscale U,(0.781876604879 0.0234039965708 -0.0158330690773),[0 1 -1 0 0 0 0]
Macroscale p,51.3063311648,[1 -1 -2 0 0 0 0]
Macroscale t,(-51.3068436455 -1.94270648818e-05 1.62109975537e-05 -1.94270648818e-05 -51.306513499 3.066208049e-05 1.62109975537e-05 3.066208049e-05 -51.3065427511),[1 -1 -2 0 0 0 0]
Macroscale d,(-6.25662974617e-05 9.91733039478e-05 5.19713927228e-05 9.91733039478e-05 -5.26377477906e-07 -1.14762364561e-08 5.19713927228e-05 -1.14762364561e-08 -4.25540487454e-07),[0 0 -1 0 0 0 0]
Macroscale mu,51306.3310853,[0 2 -2 0 0 0 0]
Macroscale psi,-51162.589291,[0 2 -2 0 0 0 0]
Mass error,1.69689483519e-14,[1 -3 -1 0 0 0 0]
Momentum error,(3.7274225928e-09 -9.20397692382e-09 -3.86249676758e-10),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(2.30338883591e-05 4.46389097065e-07 -1.24514052975e-07),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000005033 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.04050640014 3.52604343972e-05 -4.46931775935e-06),[1 -2 -2 0 0 0 0]
Macroscale T,(0.395724280378 -3.48048413232e-05 4.34518995605e-06),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.04047834316 7.47481637739e-07 -7.70944927395e-06),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.04045528851 -1.65734255009e-06 -1.21345226015e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.03917645852 -2.59301502592e-05 6.57810990449e-08),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.02797295708 2.8242576759e-05 4.40011667116e-06),[1 -2 -2 0 0 0 0]
