Time,9641
domain_center,(5.22988453099 5.2301407794 5.23094245444)
Reynolds Number,2.93509308005,[0 -1 0 0 0 0 0]
Fit,0.0142600347425,[1 -3 -1 0 0 0 0]
K,0.00860399600797,[0 0 1 0 0 0 0]
TCAT Approx 1,2.68129121643e-10,[1 -1 -3 0 0 0 0]
e_w,0.350276007414,[0 0 0 0 0 0 0]
e_ws,1.06588091886,[0 -1 0 0 0 0 0]
sauder mean diameter,11.1293490648,[0 0 0 0 0 0 0]
Domain Volume,1147.35425819,[0 3 0 0 0 0 0]
w_volume,401.890668647,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000512,[1 -3 0 0 0 0 0]
Macroscale U,(0.234562900154 0.0070104847708 -0.00474904041472),[0 1 -1 0 0 0 0]
Macroscale p,51.2054266953,[1 -1 -2 0 0 0 0]
Macroscale t,(-51.2054730531 -1.67505096583e-06 1.4400223162e-06 -1.67505096583e-06 -51.2054431289 2.77286309284e-06 1.4400223162e-06 2.77286309284e-06 -51.2054457668),[1 -1 -2 0 0 0 0]
Macroscale d,(-1.82233134209e-05 3.47727269481e-05 1.11796242103e-05 3.47727269481e-05 -1.56905113774e-07 -3.76818628541e-09 1.11796242103e-05 -3.76818628541e-09 -1.27062857338e-07),[0 0 -1 0 0 0 0]
Macroscale mu,51205.4266163,[0 2 -2 0 0 0 0]
Macroscale psi,-51162.5892909,[0 2 -2 0 0 0 0]
Mass error,-1.56308728926e-14,[1 -3 -1 0 0 0 0]
Momentum error,(-7.25323706652e-09 6.08175093642e-09 2.87242773896e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(2.12483457941e-06 4.13043341796e-08 -1.06086260679e-08),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000005023 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.03262557506 1.24642802155e-05 6.59698920292e-06),[1 -2 -2 0 0 0 0]
Macroscale T,(0.403584207356 -1.24290576323e-05 -6.61047025673e-06),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.03261715637 -9.15566592283e-07 -1.08425719212e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.0326101806 -1.66216829374e-06 -1.21240610482e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.03131783219 -2.75406763864e-05 -3.08236396825e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.02797295709 2.82425768102e-05 4.40011659293e-06),[1 -2 -2 0 0 0 0]
