Time,5643
domain_center,(5.22988453099 5.2301407794 5.23094245444)
Reynolds Number,0.32612164805,[0 -1 0 0 0 0 0]
Fit,0.0142399231295,[1 -3 -1 0 0 0 0]
K,0.00861614777563,[0 0 1 0 0 0 0]
TCAT Approx 1,3.84969885396e-13,[1 -1 -3 0 0 0 0]
e_w,0.350276007414,[0 0 0 0 0 0 0]
e_ws,1.06588091886,[0 -1 0 0 0 0 0]
sauder mean diameter,11.1293490648,[0 0 0 0 0 0 0]
Domain Volume,1147.35425819,[0 3 0 0 0 0 0]
w_volume,401.890668647,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000512,[1 -3 0 0 0 0 0]
Macroscale U,(0.0260625341914 0.00078032477645 -0.000526905490534),[0 1 -1 0 0 0 0]
Macroscale p,51.1673387585,[1 -1 -2 0 0 0 0]
Macroscale t,(-51.1673393364 -1.45420318627e-08 1.96060372717e-08 -1.45420318627e-08 -51.1673389594 3.42546654934e-08 1.96060372717e-08 3.42546654934e-08 -51.167338992),[1 -1 -2 0 0 0 0]
Macroscale d,(-2.00234791612e-06 3.86711591257e-06 1.21668674394e-06 3.86711591257e-06 -1.73944406323e-08 -4.29407697335e-10 1.21668674394e-06 -4.29407697335e-10 -1.40916580613e-08),[0 0 -1 0 0 0 0]
Macroscale mu,51167.3386796,[0 2 -2 0 0 0 0]
Macroscale psi,-51162.5892908,[0 2 -2 0 0 0 0]
Mass error,-1.07845379927e-15,[1 -3 -1 0 0 0 0]
Momentum error,(-5.51976891972e-09 7.96673117929e-09 2.04043698084e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(2.65087154053e-08 5.04050034318e-10 -1.18900881281e-10),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.8100000502 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.02964337891 2.87606719004e-06 1.15099308597e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.406564303428 -2.88352987119e-06 -1.15120901975e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.02964244342 -1.55904065135e-06 -1.20088935947e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.02964161328 -1.66402588314e-06 -1.21201229289e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.02834408557 -2.81642780168e-05 -4.25459354975e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.02797295709 2.82425767921e-05 4.40011656881e-06),[1 -2 -2 0 0 0 0]
