Time,16206
domain_center,(5.22988453099 5.2301407794 5.23094245444)
Reynolds Number,32.6122586817,[0 -1 0 0 0 0 0]
Fit,0.0146808823409,[1 -3 -1 0 0 0 0]
K,0.00835735067925,[0 0 1 0 0 0 0]
TCAT Approx 1,5.71091775285e-07,[1 -1 -3 0 0 0 0]
e_w,0.350276007414,[0 0 0 0 0 0 0]
e_ws,1.06588091886,[0 -1 0 0 0 0 0]
sauder mean diameter,11.1293490648,[0 0 0 0 0 0 0]
Domain Volume,1147.35425819,[0 3 0 0 0 0 0]
w_volume,401.890668647,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000517,[1 -3 0 0 0 0 0]
Macroscale U,(2.60625142393 0.0786254709806 -0.052277654575),[0 1 -1 0 0 0 0]
Macroscale p,51.6565465021,[1 -1 -2 0 0 0 0]
Macroscale t,(-51.6622001054 -0.000229103776312 0.000192587669359 -0.000229103776312 -51.6585377249 0.000327425169459 0.000192587669359 0.000327425169459 -51.6588560517),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.000227229114956 -0.000267679721153 0.000561342480951 -0.000267679721153 -1.79229341862e-06 -2.31458259242e-08 0.000561342480951 -2.31458259242e-08 -1.43747609869e-06),[0 0 -1 0 0 0 0]
Macroscale mu,51656.5464213,[0 2 -2 0 0 0 0]
Macroscale psi,-51162.5892916,[0 2 -2 0 0 0 0]
Mass error,5.78564462936e-14,[1 -3 -1 0 0 0 0]
Momentum error,(3.96524646451e-09 -9.09413314479e-09 -6.95579833159e-10),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(0.000240757375512 2.01330163395e-06 -4.94596794507e-07),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000005068 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.06763928893 9.22907070786e-05 -2.77865136456e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.36880911496 -9.02683113115e-05 2.72926124309e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.0675457986 6.12775032062e-06 3.55783519767e-06),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.06747144952 -1.64217006893e-06 -1.21710628848e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.06623502755 -2.07318534635e-05 1.13864093438e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.02797295705 2.82425758671e-05 4.40011689165e-06),[1 -2 -2 0 0 0 0]
