Time,4529
domain_center,(5.22988453099 5.2301407794 5.23094245444)
Reynolds Number,0.163061165172,[0 -1 0 0 0 0 0]
Fit,0.014239393009,[1 -3 -1 0 0 0 0]
K,0.00861646854751,[0 0 1 0 0 0 0]
TCAT Approx 1,5.11040044499e-14,[1 -1 -3 0 0 0 0]
e_w,0.350276007414,[0 0 0 0 0 0 0]
e_ws,1.06588091886,[0 -1 0 0 0 0 0]
sauder mean diameter,11.1293490648,[0 0 0 0 0 0 0]
Domain Volume,1147.35425819,[0 3 0 0 0 0 0]
w_volume,401.890668647,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000512,[1 -3 0 0 0 0 0]
Macroscale U,(0.0130312651766 0.000391275503227 -0.000263247060626),[0 1 -1 0 0 0 0]
Macroscale p,51.1649635871,[1 -1 -2 0 0 0 0]
Macroscale t,(-51.1649637328 -1.9401086228e-09 5.47208292881e-09 -1.9401086228e-09 -51.1649636367 8.56436495925e-09 5.47208292881e-09 8.56436495925e-09 -51.1649636449),[1 -1 -2 0 0 0 0]
Macroscale d,(-1.00044188442e-06 1.93165381393e-06 6.21229661813e-07 1.93165381393e-06 -8.69737324479e-09 -2.14663214885e-10 6.21229661813e-07 -2.14663214885e-10 -7.04478159249e-09),[0 0 -1 0 0 0 0]
Macroscale mu,51164.9635085,[0 2 -2 0 0 0 0]
Macroscale psi,-51162.5892908,[0 2 -2 0 0 0 0]
Mass error,-6.36199033505e-16,[1 -3 -1 0 0 0 0]
Momentum error,(-5.51524326209e-09 7.99641080594e-09 2.03807337565e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(6.63322101912e-09 1.26023445208e-10 -2.90256827792e-11),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000005019 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.0294572796 2.25906674349e-06 1.18309798951e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.406750382863 -2.26693713085e-06 -1.18330469942e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.02945681185 -1.59946180786e-06 -1.20813332097e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.02945636573 -1.66414224725e-06 -1.2119877533e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.0281585144 -2.82034880883e-05 -4.32742527773e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.02797295709 2.82425767872e-05 4.40011657368e-06),[1 -2 -2 0 0 0 0]
