Time,17720
domain_center,(5.22988453099 5.2301407794 5.23094245444)
Reynolds Number,65.226104315,[0 -1 0 0 0 0 0]
Fit,0.0153668207966,[1 -3 -1 0 0 0 0]
K,0.00798429835514,[0 0 1 0 0 0 0]
TCAT Approx 1,6.42939259638e-06,[1 -1 -3 0 0 0 0]
e_w,0.350276007414,[0 0 0 0 0 0 0]
e_ws,1.06588091886,[0 -1 0 0 0 0 0]
sauder mean diameter,11.1293490648,[0 0 0 0 0 0 0]
Domain Volume,1147.35425819,[0 3 0 0 0 0 0]
w_volume,401.890668647,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000522,[1 -3 0 0 0 0 0]
Macroscale U,(5.21248312549 0.1587458132 -0.109493953401),[0 1 -1 0 0 0 0]
Macroscale p,52.2043461772,[1 -1 -2 0 0 0 0]
Macroscale t,(-52.2268423937 -0.000906453134521 0.000852359331399 -0.000906453134521 -52.2121310102 0.00120936605345 0.000852359331399 0.00120936605345 -52.2133210661),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.000492879707947 -0.00210030409578 0.0019972704471 -0.00210030409578 -3.68493399936e-06 -7.24913044857e-09 0.0019972704471 -7.24913044857e-09 -2.91725169437e-06),[0 0 -1 0 0 0 0]
Macroscale mu,52204.3460944,[0 2 -2 0 0 0 0]
Macroscale psi,-51162.5892925,[0 2 -2 0 0 0 0]
Mass error,1.33646694652e-14,[1 -3 -1 0 0 0 0]
Momentum error,(-2.80422851606e-10 9.93553107346e-09 9.83791423109e-10),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(0.000914730830773 -1.02266106009e-05 3.27860397773e-07),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000005121 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.10958384 0.000145984890209 -4.39468655472e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.327538541778 -0.000156221436341 4.42737421535e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.10939692246 1.41080776457e-05 2.11959380768e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.10926016699 -1.62389781953e-06 -1.22277844869e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.1080722511 -1.30363090715e-05 2.91074406697e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.027972957 2.82425737559e-05 4.40011726833e-06),[1 -2 -2 0 0 0 0]
