Time,6144
domain_center,(5.22988453099 5.2301407794 5.23094245444)
Reynolds Number,0.652242549024,[0 -1 0 0 0 0 0]
Fit,0.0142419698007,[1 -3 -1 0 0 0 0]
K,0.00861490957462,[0 0 1 0 0 0 0]
TCAT Approx 1,2.98701584507e-12,[1 -1 -3 0 0 0 0]
e_w,0.350276007414,[0 0 0 0 0 0 0]
e_ws,1.06588091886,[0 -1 0 0 0 0 0]
sauder mean diameter,11.1293490648,[0 0 0 0 0 0 0]
Domain Volume,1147.35425819,[0 3 0 0 0 0 0]
w_volume,401.890668647,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000512,[1 -3 0 0 0 0 0]
Macroscale U,(0.0521250727945 0.00155834796777 -0.00105404177447),[0 1 -1 0 0 0 0]
Macroscale p,51.1720908322,[1 -1 -2 0 0 0 0]
Macroscale t,(-51.1720931334 -7.18235270858e-08 7.40049779524e-08 -7.18235270858e-08 -51.1720916403 1.37002231452e-07 7.40049779524e-08 1.37002231452e-07 -51.1720917707),[1 -1 -2 0 0 0 0]
Macroscale d,(-4.01022271657e-06 7.72714553773e-06 2.39875399244e-06 7.72714553773e-06 -3.47959863064e-08 -8.57170324678e-10 2.39875399244e-06 -8.57170324678e-10 -2.81901116178e-08),[0 0 -1 0 0 0 0]
Macroscale mu,51172.0907533,[0 2 -2 0 0 0 0]
Macroscale psi,-51162.5892908,[0 2 -2 0 0 0 0]
Mass error,-1.45608203406e-15,[1 -3 -1 0 0 0 0]
Momentum error,(-6.97727658983e-09 6.39663092193e-09 2.97273611475e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(1.05886580971e-07 2.01815036183e-09 -4.86312581826e-10),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.8100000502 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.03001566996 4.10376303723e-06 1.08728780267e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.40619209322 -4.10814151779e-06 -1.08763370754e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.03001379899 -1.47827005791e-06 -1.18638592127e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.03001220082 -1.6637932478e-06 -1.21206139651e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.0287153208 -2.80860559767e-05 -4.10890763884e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.02797295709 2.82425767977e-05 4.40011657481e-06),[1 -2 -2 0 0 0 0]
