Time,2843
domain_center,(5.22988453099 5.2301407794 5.23094245444)
Reynolds Number,0.0163068033329,[0 -1 0 0 0 0 0]
Fit,0.014250202067,[1 -3 -1 0 0 0 0]
K,0.00860993278696,[0 0 1 0 0 0 0]
TCAT Approx 1,1.10541293378e-16,[1 -1 -3 0 0 0 0]
e_w,0.350276007414,[0 0 0 0 0 0 0]
e_ws,1.06588091886,[0 -1 0 0 0 0 0]
sauder mean diameter,11.1293490648,[0 0 0 0 0 0 0]
Domain Volume,1147.35425819,[0 3 0 0 0 0 0]
w_volume,401.890668647,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000512,[1 -3 0 0 0 0 0]
Macroscale U,(0.0013031236582 4.11966674499e-05 -2.60285307445e-05),[0 1 -1 0 0 0 0]
Macroscale p,51.1628264387,[1 -1 -2 0 0 0 0]
Macroscale t,(-51.1628264403 2.88657191179e-10 2.00770977524e-10 2.88657191179e-10 -51.1628264391 8.57900157319e-11 2.00770977524e-10 8.57900157319e-11 -51.1628264391),[1 -1 -2 0 0 0 0]
Macroscale d,(-9.99114298447e-08 1.94818469966e-07 8.74413937254e-08 1.94818469966e-07 -8.72304152099e-10 -2.07858011167e-11 8.74413937254e-08 -2.07858011167e-11 -7.04017592151e-10),[0 0 -1 0 0 0 0]
Macroscale mu,51162.82636,[0 2 -2 0 0 0 0]
Macroscale psi,-51162.5892908,[0 2 -2 0 0 0 0]
Mass error,-4.90194855964e-17,[1 -3 -1 0 0 0 0]
Momentum error,(-5.34804672769e-09 8.22927641593e-09 1.87405716141e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(6.66704758644e-11 1.29204697063e-12 -1.94264009639e-13),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000005019 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.02928981698 1.70193937187e-06 1.21213668043e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.406917838739 -1.71016735624e-06 -1.21232410558e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.02928977021 -1.63586197987e-06 -1.21464833848e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.02928966968 -1.66424699555e-06 -1.21196567422e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.02799152687 -2.82387729379e-05 -4.39300672001e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.02797295709 2.82425767793e-05 4.40011656987e-06),[1 -2 -2 0 0 0 0]
