Time,9141
domain_center,(5.22988453099 5.2301407794 5.23094245444)
Reynolds Number,2.60897127864,[0 -1 0 0 0 0 0]
Fit,0.0142572832192,[1 -3 -1 0 0 0 0]
K,0.00860565649933,[0 0 1 0 0 0 0]
TCAT Approx 1,1.8814850029e-10,[1 -1 -3 0 0 0 0]
e_w,0.350276007414,[0 0 0 0 0 0 0]
e_ws,1.06588091886,[0 -1 0 0 0 0 0]
sauder mean diameter,11.1293490648,[0 0 0 0 0 0 0]
Domain Volume,1147.35425819,[0 3 0 0 0 0 0]
w_volume,401.890668647,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000512,[1 -3 0 0 0 0 0]
Macroscale U,(0.208500348989 0.00623113691987 -0.00422092260733),[0 1 -1 0 0 0 0]
Macroscale p,51.2006564434,[1 -1 -2 0 0 0 0]
Macroscale t,(-51.2006930855 -1.3165014059e-06 1.13859540427e-06 -1.3165014059e-06 -51.2006694265 2.19114532585e-06 1.13859540427e-06 2.19114532585e-06 -51.200671511),[1 -1 -2 0 0 0 0]
Macroscale d,(-1.6175795551e-05 3.09573581338e-05 9.85584117191e-06 3.09573581338e-05 -1.39429155132e-07 -3.36153385399e-09 9.85584117191e-06 -3.36153385399e-09 -1.12918754412e-07),[0 0 -1 0 0 0 0]
Macroscale mu,51200.6563647,[0 2 -2 0 0 0 0]
Macroscale psi,-51162.5892909,[0 2 -2 0 0 0 0]
Mass error,-5.07848581269e-15,[1 -3 -1 0 0 0 0]
Momentum error,(-7.23949550308e-09 6.11140300042e-09 2.86022979645e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(1.68099841172e-06 3.26046819765e-08 -8.31301777453e-09),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000005023 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.03225229224 1.1294491483e-05 7.18857717886e-06),[1 -2 -2 0 0 0 0]
Macroscale T,(0.403957046321 -1.1267998204e-05 -7.19975042643e-06),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.03224480888 -9.95671859737e-07 -1.09891325518e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.03223860127 -1.66240001943e-06 -1.21235675164e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.03094560561 -2.76181646541e-05 -3.22969911117e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.02797295709 2.8242576805e-05 4.40011659051e-06),[1 -2 -2 0 0 0 0]
