Time,1707
domain_center,(5.22988453099 5.2301407794 5.23094245444)
Reynolds Number,0.00163159591262,[0 -1 0 0 0 0 0]
Fit,0.0143703388374,[1 -3 -1 0 0 0 0]
K,0.00853795330688,[0 0 1 0 0 0 0]
TCAT Approx 1,2.14481758697e-18,[1 -1 -3 0 0 0 0]
e_w,0.350276007414,[0 0 0 0 0 0 0]
e_ws,1.06588091886,[0 -1 0 0 0 0 0]
sauder mean diameter,11.1293490648,[0 0 0 0 0 0 0]
Domain Volume,1147.35425819,[0 3 0 0 0 0 0]
w_volume,401.890668647,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000512,[1 -3 0 0 0 0 0]
Macroscale U,(0.000130309552203 6.18373299761e-06 -2.3113378113e-06),[0 1 -1 0 0 0 0]
Macroscale p,51.1626127517,[1 -1 -2 0 0 0 0]
Macroscale t,(-51.1626127517 3.69051569895e-11 6.11351188427e-11 3.69051569895e-11 -51.1626127517 8.75807094512e-13 6.11351188427e-11 8.75807094512e-13 -51.1626127517),[1 -1 -2 0 0 0 0]
Macroscale d,(-9.92033838661e-09 2.14099392762e-08 3.40245875742e-08 2.14099392762e-08 -8.99062230425e-11 -1.37012369639e-12 3.40245875742e-08 -1.37012369639e-12 -7.00171278822e-11),[0 0 -1 0 0 0 0]
Macroscale mu,51162.6126725,[0 2 -2 0 0 0 0]
Macroscale psi,-51162.5892908,[0 2 -2 0 0 0 0]
Mass error,-3.47137146219e-18,[1 -3 -1 0 0 0 0]
Momentum error,(-5.29852212106e-09 8.23379493074e-09 1.8439991534e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(7.0153163842e-13 1.64815623138e-14 8.15599252066e-15),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000005019 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.02927307219 1.64613068974e-06 1.21504810958e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.406934583421 -1.65436446819e-06 -1.21523250868e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.02927306751 -1.63950269804e-06 -1.21529961865e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.02927300154 -1.66425747252e-06 -1.21196346695e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.02797482968 -2.82422364905e-05 -4.39926635115e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.02797295709 2.82425767833e-05 4.40011656854e-06),[1 -2 -2 0 0 0 0]
