Time,1138
domain_center,(5.22988453099 5.2301407794 5.23094245444)
Reynolds Number,0.000328141163064,[0 -1 0 0 0 0 0]
Fit,0.0149013896119,[1 -3 -1 0 0 0 0]
K,0.00823368056222,[0 0 1 0 0 0 0]
TCAT Approx 1,1.12084049755e-18,[1 -1 -3 0 0 0 0]
e_w,0.350276007414,[0 0 0 0 0 0 0]
e_ws,1.06588091886,[0 -1 0 0 0 0 0]
sauder mean diameter,11.1293490648,[0 0 0 0 0 0 0]
Domain Volume,1147.35425819,[0 3 0 0 0 0 0]
w_volume,401.890668647,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000512,[1 -3 0 0 0 0 0]
Macroscale U,(2.60594028921e-05 3.0754510127e-06 -2.02528202445e-07),[0 1 -1 0 0 0 0]
Macroscale p,51.1625937567,[1 -1 -2 0 0 0 0]
Macroscale t,(-51.1625937567 1.03477201315e-11 5.22401419695e-11 1.03477201315e-11 -51.1625937567 4.12695555896e-14 5.22401419695e-11 4.12695555896e-14 -51.1625937567),[1 -1 -2 0 0 0 0]
Macroscale d,(-1.92153412019e-09 5.99714896706e-09 2.933727831e-08 5.99714896706e-09 -2.03656187902e-11 3.57401246644e-13 2.933727831e-08 3.57401246644e-13 -1.3661280766e-11),[0 0 -1 0 0 0 0]
Macroscale mu,51162.5936774,[0 2 -2 0 0 0 0]
Macroscale psi,-51162.5892908,[0 2 -2 0 0 0 0]
Mass error,-9.64646965948e-19,[1 -3 -1 0 0 0 0]
Momentum error,(-5.30574351121e-09 8.24798317088e-09 1.84480794162e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(3.87612421858e-14 1.50362089591e-15 2.75800561048e-15),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000005019 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.02927158373 1.64116935248e-06 1.21530696322e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.40693607188 -1.64941733415e-06 -1.21549144374e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.0292715828 -1.63982652025e-06 -1.21535750264e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.0292715199 -1.66425840317e-06 -1.21196327098e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.02797334541 -2.82425702913e-05 -4.40001122077e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.02797295709 2.82425767838e-05 4.40011656852e-06),[1 -2 -2 0 0 0 0]
