Time,12253
domain_center,(5.22988453099 5.2301407794 5.23094245444)
Reynolds Number,13.0448843185,[0 -1 0 0 0 0 0]
Fit,0.014368760559,[1 -3 -1 0 0 0 0]
K,0.00853889112399,[0 0 1 0 0 0 0]
TCAT Approx 1,2.61414319682e-08,[1 -1 -3 0 0 0 0]
e_w,0.350276007414,[0 0 0 0 0 0 0]
e_ws,1.06588091886,[0 -1 0 0 0 0 0]
sauder mean diameter,11.1293490648,[0 0 0 0 0 0 0]
Domain Volume,1147.35425819,[0 3 0 0 0 0 0]
w_volume,401.890668647,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000514,[1 -3 0 0 0 0 0]
Macroscale U,(1.04250210656 0.031232135609 -0.0210841229658),[0 1 -1 0 0 0 0]
Macroscale p,51.3549481679,[1 -1 -2 0 0 0 0]
Macroscale t,(-51.3558577807 -3.49555423667e-05 2.91084908253e-05 -3.49555423667e-05 -51.3552717362 5.43047336521e-05 2.91084908253e-05 5.43047336521e-05 -51.3553236628),[1 -1 -2 0 0 0 0]
Macroscale d,(-8.45813978519e-05 0.000110448359114 8.54815088734e-05 0.000110448359114 -7.03998478588e-07 -1.45177914625e-08 8.54815088734e-05 -1.45177914625e-08 -5.68597633283e-07),[0 0 -1 0 0 0 0]
Macroscale mu,51354.9480884,[0 2 -2 0 0 0 0]
Macroscale psi,-51162.5892911,[0 2 -2 0 0 0 0]
Mass error,1.77492546372e-14,[1 -3 -1 0 0 0 0]
Momentum error,(3.77854775246e-09 -9.15868296696e-09 -1.03014800525e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(4.05178498073e-05 7.57341978544e-07 -2.12181072881e-07),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000005038 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.04429294529 4.50237621557e-05 -8.92312638107e-06),[1 -2 -2 0 0 0 0]
Macroscale T,(0.391955219155 -4.42572614942e-05 8.71197545619e-06),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.0442555386 1.52813925734e-06 -6.17753802008e-06),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.04422489555 -1.65507870319e-06 -1.21395777872e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.04295242022 -2.51746014941e-05 1.60513470541e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.02797295707 2.82425766915e-05 4.40011670177e-06),[1 -2 -2 0 0 0 0]
